[1] ROUGE-1: 28.97	ROUGE-2: 26.69	ROUGE-L: 28.97
[2] ROUGE-1: 62.59	ROUGE-2: 60.96	ROUGE-L: 62.59
[3] ROUGE-1: 19.99	ROUGE-2: 19.52	ROUGE-L: 19.99
[4] ROUGE-1: 46.04	ROUGE-2: 43.88	ROUGE-L: 42.26
[5] ROUGE-1: 36.85	ROUGE-2: 35.13	ROUGE-L: 32.77
[6] ROUGE-1: 15.54	ROUGE-2: 15.01	ROUGE-L: 13.98
[7] ROUGE-1: 45.71	ROUGE-2: 44.63	ROUGE-L: 45.71
[8] ROUGE-1: 21.54	ROUGE-2: 20.29	ROUGE-L: 20.21
[9] ROUGE-1: 21.14	ROUGE-2: 20.37	ROUGE-L: 21.14
[10] ROUGE-1: 15.34	ROUGE-2: 15.03	ROUGE-L: 15.26
[11] ROUGE-1: 26.38	ROUGE-2: 25.10	ROUGE-L: 25.30
[12] ROUGE-1: 17.48	ROUGE-2: 13.88	ROUGE-L: 12.94
[13] ROUGE-1: 43.45	ROUGE-2: 41.05	ROUGE-L: 36.20
[14] ROUGE-1: 16.13	ROUGE-2: 15.29	ROUGE-L: 15.25
[15] ROUGE-1: 14.08	ROUGE-2: 13.57	ROUGE-L: 14.08
[16] ROUGE-1: 11.41	ROUGE-2: 9.86	ROUGE-L: 9.85
[17] ROUGE-1: 23.73	ROUGE-2: 22.74	ROUGE-L: 21.93
[18] ROUGE-1: 14.64	ROUGE-2: 13.69	ROUGE-L: 13.40
[19] ROUGE-1: 14.59	ROUGE-2: 14.03	ROUGE-L: 14.59
[20] ROUGE-1: 33.13	ROUGE-2: 30.92	ROUGE-L: 30.49
[21] ROUGE-1: 23.81	ROUGE-2: 21.90	ROUGE-L: 21.88
[22] ROUGE-1: 14.41	ROUGE-2: 13.75	ROUGE-L: 13.87
[23] ROUGE-1: 47.58	ROUGE-2: 42.20	ROUGE-L: 40.26
[24] ROUGE-1: 27.49	ROUGE-2: 26.37	ROUGE-L: 25.72
[25] ROUGE-1: 21.50	ROUGE-2: 21.01	ROUGE-L: 21.47
[26] ROUGE-1: 25.41	ROUGE-2: 24.63	ROUGE-L: 24.46
[27] ROUGE-1: 20.72	ROUGE-2: 19.11	ROUGE-L: 19.29
[28] ROUGE-1: 30.11	ROUGE-2: 27.25	ROUGE-L: 26.97
[29] ROUGE-1: 28.92	ROUGE-2: 27.47	ROUGE-L: 27.49
[30] ROUGE-1: 43.06	ROUGE-2: 38.75	ROUGE-L: 39.43
[31] ROUGE-1: 39.03	ROUGE-2: 37.52	ROUGE-L: 38.74
[32] ROUGE-1: 16.45	ROUGE-2: 15.31	ROUGE-L: 15.09
[33] ROUGE-1: 39.72	ROUGE-2: 36.58	ROUGE-L: 39.72
[34] ROUGE-1: 67.77	ROUGE-2: 66.22	ROUGE-L: 67.77
[35] ROUGE-1: 16.52	ROUGE-2: 15.03	ROUGE-L: 16.24
[36] ROUGE-1: 23.70	ROUGE-2: 22.74	ROUGE-L: 22.25
[37] ROUGE-1: 38.88	ROUGE-2: 38.35	ROUGE-L: 38.88
[38] ROUGE-1: 12.51	ROUGE-2: 10.83	ROUGE-L: 12.12
[39] ROUGE-1: 30.43	ROUGE-2: 28.14	ROUGE-L: 28.28
[40] ROUGE-1: 21.63	ROUGE-2: 20.87	ROUGE-L: 20.29
[41] ROUGE-1: 23.06	ROUGE-2: 22.18	ROUGE-L: 21.82
[42] ROUGE-1: 16.29	ROUGE-2: 14.67	ROUGE-L: 14.40
[43] ROUGE-1: 32.62	ROUGE-2: 31.29	ROUGE-L: 32.62
[44] ROUGE-1: 20.42	ROUGE-2: 19.60	ROUGE-L: 18.31
[45] ROUGE-1: 24.44	ROUGE-2: 23.62	ROUGE-L: 23.16
[46] ROUGE-1: 39.46	ROUGE-2: 33.79	ROUGE-L: 32.45
[47] ROUGE-1: 13.15	ROUGE-2: 12.10	ROUGE-L: 12.89
[48] ROUGE-1: 22.74	ROUGE-2: 21.51	ROUGE-L: 21.20
[49] ROUGE-1: 32.65	ROUGE-2: 32.08	ROUGE-L: 30.61
[50] ROUGE-1: 23.27	ROUGE-2: 21.86	ROUGE-L: 22.47
[51] ROUGE-1: 12.48	ROUGE-2: 12.10	ROUGE-L: 12.22
[52] ROUGE-1: 25.83	ROUGE-2: 24.88	ROUGE-L: 25.09
[53] ROUGE-1: 23.54	ROUGE-2: 22.04	ROUGE-L: 20.52
[54] ROUGE-1: 23.57	ROUGE-2: 22.69	ROUGE-L: 23.40
[55] ROUGE-1: 27.48	ROUGE-2: 26.38	ROUGE-L: 26.11
[56] ROUGE-1: 47.13	ROUGE-2: 45.04	ROUGE-L: 36.39
[57] ROUGE-1: 28.88	ROUGE-2: 27.40	ROUGE-L: 27.61
[58] ROUGE-1: 32.60	ROUGE-2: 29.33	ROUGE-L: 28.68
[59] ROUGE-1: 18.42	ROUGE-2: 16.95	ROUGE-L: 16.17
[60] ROUGE-1: 22.75	ROUGE-2: 21.98	ROUGE-L: 22.64
[61] ROUGE-1: 29.89	ROUGE-2: 28.46	ROUGE-L: 26.78
[62] ROUGE-1: 29.44	ROUGE-2: 28.57	ROUGE-L: 28.25
[63] ROUGE-1: 16.31	ROUGE-2: 16.15	ROUGE-L: 16.31
[64] ROUGE-1: 24.43	ROUGE-2: 21.68	ROUGE-L: 22.14
[65] ROUGE-1: 21.95	ROUGE-2: 21.45	ROUGE-L: 21.54
[66] ROUGE-1: 25.21	ROUGE-2: 24.18	ROUGE-L: 25.06
[67] ROUGE-1: 19.11	ROUGE-2: 17.83	ROUGE-L: 18.43
[68] ROUGE-1: 21.67	ROUGE-2: 21.14	ROUGE-L: 20.58
[69] ROUGE-1: 38.61	ROUGE-2: 37.21	ROUGE-L: 38.53
[70] ROUGE-1: 24.61	ROUGE-2: 23.72	ROUGE-L: 24.21
[71] ROUGE-1: 31.12	ROUGE-2: 30.02	ROUGE-L: 29.71
[72] ROUGE-1: 12.12	ROUGE-2: 11.34	ROUGE-L: 11.71
[73] ROUGE-1: 24.93	ROUGE-2: 23.52	ROUGE-L: 23.33
[74] ROUGE-1: 15.34	ROUGE-2: 14.33	ROUGE-L: 14.47
[75] ROUGE-1: 12.11	ROUGE-2: 11.33	ROUGE-L: 10.51
[76] ROUGE-1: 24.88	ROUGE-2: 23.69	ROUGE-L: 23.53
[77] ROUGE-1: 5.69	ROUGE-2: 5.42	ROUGE-L: 5.52
[78] ROUGE-1: 25.20	ROUGE-2: 24.12	ROUGE-L: 23.54
[79] ROUGE-1: 18.23	ROUGE-2: 17.82	ROUGE-L: 17.28
[80] ROUGE-1: 29.43	ROUGE-2: 28.16	ROUGE-L: 26.85
[81] ROUGE-1: 15.65	ROUGE-2: 15.13	ROUGE-L: 15.65
[82] ROUGE-1: 42.53	ROUGE-2: 40.68	ROUGE-L: 38.40
[83] ROUGE-1: 23.99	ROUGE-2: 22.88	ROUGE-L: 22.52
[84] ROUGE-1: 29.05	ROUGE-2: 28.10	ROUGE-L: 26.95
[85] ROUGE-1: 38.76	ROUGE-2: 35.80	ROUGE-L: 31.78
[86] ROUGE-1: 28.58	ROUGE-2: 27.76	ROUGE-L: 27.56
[87] ROUGE-1: 26.10	ROUGE-2: 24.50	ROUGE-L: 24.63
[88] ROUGE-1: 27.10	ROUGE-2: 25.03	ROUGE-L: 25.00
[89] ROUGE-1: 20.55	ROUGE-2: 19.31	ROUGE-L: 19.19
[90] ROUGE-1: 19.54	ROUGE-2: 18.43	ROUGE-L: 15.40
[91] ROUGE-1: 15.71	ROUGE-2: 14.10	ROUGE-L: 13.63
[92] ROUGE-1: 8.97	ROUGE-2: 8.69	ROUGE-L: 8.97
[93] ROUGE-1: 22.31	ROUGE-2: 20.03	ROUGE-L: 19.95
[94] ROUGE-1: 22.42	ROUGE-2: 21.96	ROUGE-L: 21.60
[95] ROUGE-1: 22.86	ROUGE-2: 21.18	ROUGE-L: 21.64
[96] ROUGE-1: 20.99	ROUGE-2: 19.63	ROUGE-L: 19.56
[97] ROUGE-1: 30.09	ROUGE-2: 28.77	ROUGE-L: 30.09
[98] ROUGE-1: 34.74	ROUGE-2: 24.30	ROUGE-L: 24.82
[99] ROUGE-1: 23.43	ROUGE-2: 22.49	ROUGE-L: 22.96
[100] ROUGE-1: 15.95	ROUGE-2: 15.36	ROUGE-L: 15.83
