[1] ROUGE-1: 28.97	ROUGE-2: 26.69	ROUGE-L: 28.97
[2] ROUGE-1: 62.59	ROUGE-2: 60.96	ROUGE-L: 62.59
[3] ROUGE-1: 11.35	ROUGE-2: 11.05	ROUGE-L: 11.35
[4] ROUGE-1: 46.04	ROUGE-2: 43.88	ROUGE-L: 42.26
[5] ROUGE-1: 26.32	ROUGE-2: 25.49	ROUGE-L: 24.15
[6] ROUGE-1: 7.65	ROUGE-2: 7.17	ROUGE-L: 6.03
[7] ROUGE-1: 45.71	ROUGE-2: 44.63	ROUGE-L: 45.71
[8] ROUGE-1: 13.75	ROUGE-2: 12.93	ROUGE-L: 13.07
[9] ROUGE-1: 21.14	ROUGE-2: 20.37	ROUGE-L: 21.14
[10] ROUGE-1: 6.76	ROUGE-2: 6.64	ROUGE-L: 6.70
[11] ROUGE-1: 20.14	ROUGE-2: 19.15	ROUGE-L: 19.28
[12] ROUGE-1: 17.48	ROUGE-2: 13.88	ROUGE-L: 12.94
[13] ROUGE-1: 25.56	ROUGE-2: 24.23	ROUGE-L: 25.56
[14] ROUGE-1: 3.62	ROUGE-2: 3.14	ROUGE-L: 3.27
[15] ROUGE-1: 4.64	ROUGE-2: 4.40	ROUGE-L: 4.64
[16] ROUGE-1: 11.41	ROUGE-2: 9.86	ROUGE-L: 9.85
[17] ROUGE-1: 13.26	ROUGE-2: 12.33	ROUGE-L: 12.24
[18] ROUGE-1: 14.64	ROUGE-2: 13.69	ROUGE-L: 13.40
[19] ROUGE-1: 4.67	ROUGE-2: 4.40	ROUGE-L: 4.67
[20] ROUGE-1: 29.44	ROUGE-2: 27.86	ROUGE-L: 27.05
[21] ROUGE-1: 8.36	ROUGE-2: 7.79	ROUGE-L: 8.26
[22] ROUGE-1: 2.13	ROUGE-2: 2.04	ROUGE-L: 2.13
[23] ROUGE-1: 47.58	ROUGE-2: 42.20	ROUGE-L: 40.26
[24] ROUGE-1: 9.60	ROUGE-2: 9.12	ROUGE-L: 8.65
[25] ROUGE-1: 11.61	ROUGE-2: 11.18	ROUGE-L: 11.52
[26] ROUGE-1: 25.41	ROUGE-2: 24.63	ROUGE-L: 24.46
[27] ROUGE-1: 15.35	ROUGE-2: 14.35	ROUGE-L: 14.63
[28] ROUGE-1: 13.08	ROUGE-2: 10.35	ROUGE-L: 11.12
[29] ROUGE-1: 7.39	ROUGE-2: 6.37	ROUGE-L: 6.32
[30] ROUGE-1: 43.06	ROUGE-2: 38.75	ROUGE-L: 39.43
[31] ROUGE-1: 19.83	ROUGE-2: 17.57	ROUGE-L: 18.20
[32] ROUGE-1: 5.93	ROUGE-2: 5.06	ROUGE-L: 5.10
[33] ROUGE-1: 39.72	ROUGE-2: 36.58	ROUGE-L: 39.72
[34] ROUGE-1: 67.77	ROUGE-2: 66.22	ROUGE-L: 67.77
[35] ROUGE-1: 8.43	ROUGE-2: 7.36	ROUGE-L: 8.24
[36] ROUGE-1: 13.87	ROUGE-2: 13.33	ROUGE-L: 13.43
[37] ROUGE-1: 38.88	ROUGE-2: 38.35	ROUGE-L: 38.88
[38] ROUGE-1: 12.51	ROUGE-2: 10.83	ROUGE-L: 12.12
[39] ROUGE-1: 15.10	ROUGE-2: 12.39	ROUGE-L: 12.35
[40] ROUGE-1: 9.69	ROUGE-2: 9.40	ROUGE-L: 9.17
[41] ROUGE-1: 8.81	ROUGE-2: 8.28	ROUGE-L: 8.36
[42] ROUGE-1: 16.29	ROUGE-2: 14.67	ROUGE-L: 14.40
[43] ROUGE-1: 32.62	ROUGE-2: 31.29	ROUGE-L: 32.62
[44] ROUGE-1: 20.42	ROUGE-2: 19.60	ROUGE-L: 18.31
[45] ROUGE-1: 24.44	ROUGE-2: 23.62	ROUGE-L: 23.16
[46] ROUGE-1: 25.49	ROUGE-2: 19.77	ROUGE-L: 19.43
[47] ROUGE-1: 8.45	ROUGE-2: 7.64	ROUGE-L: 8.18
[48] ROUGE-1: 13.34	ROUGE-2: 12.57	ROUGE-L: 12.69
[49] ROUGE-1: 32.65	ROUGE-2: 32.08	ROUGE-L: 30.61
[50] ROUGE-1: 15.37	ROUGE-2: 13.73	ROUGE-L: 14.33
[51] ROUGE-1: 12.48	ROUGE-2: 12.10	ROUGE-L: 12.22
[52] ROUGE-1: 20.17	ROUGE-2: 19.61	ROUGE-L: 20.13
[53] ROUGE-1: 4.92	ROUGE-2: 4.78	ROUGE-L: 4.92
[54] ROUGE-1: 6.40	ROUGE-2: 6.15	ROUGE-L: 6.25
[55] ROUGE-1: 7.20	ROUGE-2: 6.38	ROUGE-L: 6.71
[56] ROUGE-1: 47.13	ROUGE-2: 45.04	ROUGE-L: 36.39
[57] ROUGE-1: 22.28	ROUGE-2: 21.05	ROUGE-L: 20.49
[58] ROUGE-1: 32.60	ROUGE-2: 29.33	ROUGE-L: 28.68
[59] ROUGE-1: 12.86	ROUGE-2: 11.57	ROUGE-L: 11.93
[60] ROUGE-1: 11.61	ROUGE-2: 11.26	ROUGE-L: 11.49
[61] ROUGE-1: 7.54	ROUGE-2: 7.04	ROUGE-L: 7.40
[62] ROUGE-1: 13.83	ROUGE-2: 13.16	ROUGE-L: 13.35
[63] ROUGE-1: 16.31	ROUGE-2: 16.15	ROUGE-L: 16.31
[64] ROUGE-1: 24.43	ROUGE-2: 21.68	ROUGE-L: 22.14
[65] ROUGE-1: 12.02	ROUGE-2: 11.75	ROUGE-L: 11.55
[66] ROUGE-1: 25.21	ROUGE-2: 24.18	ROUGE-L: 25.06
[67] ROUGE-1: 13.16	ROUGE-2: 12.75	ROUGE-L: 13.02
[68] ROUGE-1: 11.03	ROUGE-2: 10.70	ROUGE-L: 10.96
[69] ROUGE-1: 17.31	ROUGE-2: 16.56	ROUGE-L: 17.14
[70] ROUGE-1: 12.38	ROUGE-2: 12.01	ROUGE-L: 12.34
[71] ROUGE-1: 14.57	ROUGE-2: 13.84	ROUGE-L: 13.44
[72] ROUGE-1: 7.10	ROUGE-2: 6.46	ROUGE-L: 6.70
[73] ROUGE-1: 8.61	ROUGE-2: 8.15	ROUGE-L: 7.96
[74] ROUGE-1: 11.54	ROUGE-2: 10.70	ROUGE-L: 10.94
[75] ROUGE-1: 6.15	ROUGE-2: 5.24	ROUGE-L: 4.98
[76] ROUGE-1: 14.78	ROUGE-2: 13.95	ROUGE-L: 14.30
[77] ROUGE-1: 5.69	ROUGE-2: 5.42	ROUGE-L: 5.52
[78] ROUGE-1: 16.19	ROUGE-2: 15.41	ROUGE-L: 15.02
[79] ROUGE-1: 5.40	ROUGE-2: 5.22	ROUGE-L: 5.11
[80] ROUGE-1: 7.95	ROUGE-2: 5.53	ROUGE-L: 6.20
[81] ROUGE-1: 15.65	ROUGE-2: 15.13	ROUGE-L: 15.65
[82] ROUGE-1: 23.67	ROUGE-2: 23.19	ROUGE-L: 23.67
[83] ROUGE-1: 9.38	ROUGE-2: 8.70	ROUGE-L: 8.30
[84] ROUGE-1: 18.86	ROUGE-2: 18.21	ROUGE-L: 18.03
[85] ROUGE-1: 38.76	ROUGE-2: 35.80	ROUGE-L: 31.78
[86] ROUGE-1: 12.62	ROUGE-2: 12.33	ROUGE-L: 12.28
[87] ROUGE-1: 14.67	ROUGE-2: 13.40	ROUGE-L: 13.73
[88] ROUGE-1: 15.01	ROUGE-2: 13.83	ROUGE-L: 13.60
[89] ROUGE-1: 5.29	ROUGE-2: 4.89	ROUGE-L: 5.01
[90] ROUGE-1: 19.54	ROUGE-2: 18.43	ROUGE-L: 15.40
[91] ROUGE-1: 6.73	ROUGE-2: 6.32	ROUGE-L: 6.25
[92] ROUGE-1: 8.97	ROUGE-2: 8.69	ROUGE-L: 8.97
[93] ROUGE-1: 13.75	ROUGE-2: 11.98	ROUGE-L: 11.57
[94] ROUGE-1: 9.38	ROUGE-2: 9.17	ROUGE-L: 9.38
[95] ROUGE-1: 13.32	ROUGE-2: 12.36	ROUGE-L: 12.42
[96] ROUGE-1: 5.61	ROUGE-2: 5.11	ROUGE-L: 5.40
[97] ROUGE-1: 30.09	ROUGE-2: 28.77	ROUGE-L: 30.09
[98] ROUGE-1: 34.74	ROUGE-2: 24.30	ROUGE-L: 24.82
[99] ROUGE-1: 11.15	ROUGE-2: 10.65	ROUGE-L: 10.83
[100] ROUGE-1: 5.64	ROUGE-2: 5.32	ROUGE-L: 5.57
