[1] ROUGE-1: 87.62	ROUGE-2: 75.42	ROUGE-L: 66.90
[2] ROUGE-1: 80.48	ROUGE-2: 74.15	ROUGE-L: 67.83
[3] ROUGE-1: 70.35	ROUGE-2: 68.70	ROUGE-L: 69.41
[4] ROUGE-1: 78.89	ROUGE-2: 73.48	ROUGE-L: 71.79
[5] ROUGE-1: 80.50	ROUGE-2: 71.54	ROUGE-L: 66.10
[6] ROUGE-1: 72.48	ROUGE-2: 69.38	ROUGE-L: 69.20
[7] ROUGE-1: 72.93	ROUGE-2: 67.88	ROUGE-L: 68.97
[8] ROUGE-1: 69.62	ROUGE-2: 64.79	ROUGE-L: 65.31
[9] ROUGE-1: 76.10	ROUGE-2: 71.64	ROUGE-L: 69.30
[10] ROUGE-1: 82.03	ROUGE-2: 76.05	ROUGE-L: 74.11
[11] ROUGE-1: 79.88	ROUGE-2: 73.40	ROUGE-L: 67.66
[12] ROUGE-1: 78.27	ROUGE-2: 73.70	ROUGE-L: 71.53
[13] ROUGE-1: 74.90	ROUGE-2: 70.96	ROUGE-L: 69.58
[14] ROUGE-1: 76.97	ROUGE-2: 73.52	ROUGE-L: 70.96
[15] ROUGE-1: 72.68	ROUGE-2: 67.26	ROUGE-L: 65.81
[16] ROUGE-1: 82.81	ROUGE-2: 73.93	ROUGE-L: 68.08
[17] ROUGE-1: 80.09	ROUGE-2: 73.26	ROUGE-L: 69.36
[18] ROUGE-1: 78.26	ROUGE-2: 73.59	ROUGE-L: 70.81
[19] ROUGE-1: 78.83	ROUGE-2: 74.51	ROUGE-L: 71.40
[20] ROUGE-1: 74.55	ROUGE-2: 69.90	ROUGE-L: 68.14
[21] ROUGE-1: 77.83	ROUGE-2: 72.74	ROUGE-L: 67.93
[22] ROUGE-1: 70.84	ROUGE-2: 67.50	ROUGE-L: 66.58
[23] ROUGE-1: 77.31	ROUGE-2: 73.51	ROUGE-L: 72.75
[24] ROUGE-1: 74.75	ROUGE-2: 66.40	ROUGE-L: 65.92
[25] ROUGE-1: 77.23	ROUGE-2: 71.81	ROUGE-L: 68.30
[26] ROUGE-1: 70.40	ROUGE-2: 67.51	ROUGE-L: 65.54
[27] ROUGE-1: 74.81	ROUGE-2: 69.72	ROUGE-L: 65.15
[28] ROUGE-1: 70.31	ROUGE-2: 68.15	ROUGE-L: 67.57
[29] ROUGE-1: 75.68	ROUGE-2: 71.06	ROUGE-L: 69.15
[30] ROUGE-1: 76.57	ROUGE-2: 71.68	ROUGE-L: 68.47
[31] ROUGE-1: 79.56	ROUGE-2: 74.34	ROUGE-L: 70.09
[32] ROUGE-1: 81.52	ROUGE-2: 74.08	ROUGE-L: 69.81
[33] ROUGE-1: 75.46	ROUGE-2: 71.90	ROUGE-L: 68.77
