[1] ROUGE-1: 28.97	ROUGE-2: 26.69	ROUGE-L: 28.97
[2] ROUGE-1: 62.59	ROUGE-2: 60.96	ROUGE-L: 62.59
[3] ROUGE-1: 11.35	ROUGE-2: 11.05	ROUGE-L: 11.35
[4] ROUGE-1: 46.04	ROUGE-2: 43.88	ROUGE-L: 42.26
[5] ROUGE-1: 14.23	ROUGE-2: 13.48	ROUGE-L: 11.91
[6] ROUGE-1: 7.65	ROUGE-2: 7.17	ROUGE-L: 6.03
[7] ROUGE-1: 45.71	ROUGE-2: 44.63	ROUGE-L: 45.71
[8] ROUGE-1: 4.99	ROUGE-2: 4.74	ROUGE-L: 4.92
[9] ROUGE-1: 21.14	ROUGE-2: 20.37	ROUGE-L: 21.14
[10] ROUGE-1: 6.76	ROUGE-2: 6.64	ROUGE-L: 6.70
[11] ROUGE-1: 8.35	ROUGE-2: 7.49	ROUGE-L: 7.96
[12] ROUGE-1: 17.48	ROUGE-2: 13.88	ROUGE-L: 12.94
[13] ROUGE-1: 25.56	ROUGE-2: 24.23	ROUGE-L: 25.56
[14] ROUGE-1: 3.62	ROUGE-2: 3.14	ROUGE-L: 3.27
[15] ROUGE-1: 4.64	ROUGE-2: 4.40	ROUGE-L: 4.64
[16] ROUGE-1: 11.41	ROUGE-2: 9.86	ROUGE-L: 9.85
[17] ROUGE-1: 6.56	ROUGE-2: 6.18	ROUGE-L: 6.21
[18] ROUGE-1: 14.64	ROUGE-2: 13.69	ROUGE-L: 13.40
[19] ROUGE-1: 4.67	ROUGE-2: 4.40	ROUGE-L: 4.67
[20] ROUGE-1: 20.83	ROUGE-2: 19.55	ROUGE-L: 19.43
[21] ROUGE-1: 8.36	ROUGE-2: 7.79	ROUGE-L: 8.26
[22] ROUGE-1: 2.13	ROUGE-2: 2.04	ROUGE-L: 2.13
[23] ROUGE-1: 47.58	ROUGE-2: 42.20	ROUGE-L: 40.26
[24] ROUGE-1: 5.76	ROUGE-2: 5.40	ROUGE-L: 4.88
[25] ROUGE-1: 4.99	ROUGE-2: 4.86	ROUGE-L: 4.72
[26] ROUGE-1: 12.55	ROUGE-2: 10.52	ROUGE-L: 10.80
[27] ROUGE-1: 7.09	ROUGE-2: 6.82	ROUGE-L: 7.07
[28] ROUGE-1: 13.08	ROUGE-2: 10.35	ROUGE-L: 11.12
[29] ROUGE-1: 7.39	ROUGE-2: 6.37	ROUGE-L: 6.32
[30] ROUGE-1: 43.06	ROUGE-2: 38.75	ROUGE-L: 39.43
[31] ROUGE-1: 19.83	ROUGE-2: 17.57	ROUGE-L: 18.20
[32] ROUGE-1: 3.68	ROUGE-2: 2.89	ROUGE-L: 3.21
[33] ROUGE-1: 39.72	ROUGE-2: 36.58	ROUGE-L: 39.72
[34] ROUGE-1: 67.77	ROUGE-2: 66.22	ROUGE-L: 67.77
[35] ROUGE-1: 8.43	ROUGE-2: 7.36	ROUGE-L: 8.24
[36] ROUGE-1: 5.63	ROUGE-2: 5.40	ROUGE-L: 5.45
[37] ROUGE-1: 24.84	ROUGE-2: 24.45	ROUGE-L: 24.84
[38] ROUGE-1: 12.51	ROUGE-2: 10.83	ROUGE-L: 12.12
[39] ROUGE-1: 11.52	ROUGE-2: 9.46	ROUGE-L: 10.28
[40] ROUGE-1: 3.30	ROUGE-2: 3.20	ROUGE-L: 3.30
[41] ROUGE-1: 3.28	ROUGE-2: 3.19	ROUGE-L: 3.27
[42] ROUGE-1: 16.29	ROUGE-2: 14.67	ROUGE-L: 14.40
[43] ROUGE-1: 32.62	ROUGE-2: 31.29	ROUGE-L: 32.62
[44] ROUGE-1: 20.42	ROUGE-2: 19.60	ROUGE-L: 18.31
[45] ROUGE-1: 13.51	ROUGE-2: 13.08	ROUGE-L: 12.16
[46] ROUGE-1: 25.49	ROUGE-2: 19.77	ROUGE-L: 19.43
[47] ROUGE-1: 4.49	ROUGE-2: 3.76	ROUGE-L: 4.22
[48] ROUGE-1: 7.08	ROUGE-2: 6.75	ROUGE-L: 6.65
[49] ROUGE-1: 32.65	ROUGE-2: 32.08	ROUGE-L: 30.61
[50] ROUGE-1: 6.11	ROUGE-2: 4.98	ROUGE-L: 5.62
[51] ROUGE-1: 12.48	ROUGE-2: 12.10	ROUGE-L: 12.22
[52] ROUGE-1: 6.14	ROUGE-2: 5.95	ROUGE-L: 6.12
[53] ROUGE-1: 4.92	ROUGE-2: 4.78	ROUGE-L: 4.92
[54] ROUGE-1: 2.15	ROUGE-2: 2.11	ROUGE-L: 2.13
[55] ROUGE-1: 5.69	ROUGE-2: 4.91	ROUGE-L: 5.19
[56] ROUGE-1: 27.03	ROUGE-2: 24.90	ROUGE-L: 23.17
[57] ROUGE-1: 12.23	ROUGE-2: 11.27	ROUGE-L: 11.22
[58] ROUGE-1: 32.60	ROUGE-2: 29.33	ROUGE-L: 28.68
[59] ROUGE-1: 7.99	ROUGE-2: 7.17	ROUGE-L: 7.61
[60] ROUGE-1: 5.65	ROUGE-2: 5.29	ROUGE-L: 5.53
[61] ROUGE-1: 5.22	ROUGE-2: 4.80	ROUGE-L: 5.11
[62] ROUGE-1: 3.91	ROUGE-2: 3.75	ROUGE-L: 3.91
[63] ROUGE-1: 16.31	ROUGE-2: 16.15	ROUGE-L: 16.31
[64] ROUGE-1: 24.43	ROUGE-2: 21.68	ROUGE-L: 22.14
[65] ROUGE-1: 2.60	ROUGE-2: 2.54	ROUGE-L: 2.60
[66] ROUGE-1: 14.07	ROUGE-2: 13.44	ROUGE-L: 14.07
[67] ROUGE-1: 13.16	ROUGE-2: 12.75	ROUGE-L: 13.02
[68] ROUGE-1: 4.46	ROUGE-2: 4.30	ROUGE-L: 4.40
[69] ROUGE-1: 17.31	ROUGE-2: 16.56	ROUGE-L: 17.14
[70] ROUGE-1: 4.07	ROUGE-2: 3.66	ROUGE-L: 3.77
[71] ROUGE-1: 5.11	ROUGE-2: 4.95	ROUGE-L: 4.93
[72] ROUGE-1: 3.32	ROUGE-2: 2.83	ROUGE-L: 3.01
[73] ROUGE-1: 1.78	ROUGE-2: 1.74	ROUGE-L: 1.78
[74] ROUGE-1: 4.99	ROUGE-2: 4.56	ROUGE-L: 4.76
[75] ROUGE-1: 6.15	ROUGE-2: 5.24	ROUGE-L: 4.98
[76] ROUGE-1: 4.02	ROUGE-2: 3.53	ROUGE-L: 3.79
[77] ROUGE-1: 3.06	ROUGE-2: 2.85	ROUGE-L: 2.88
[78] ROUGE-1: 7.80	ROUGE-2: 7.29	ROUGE-L: 6.85
[79] ROUGE-1: 1.51	ROUGE-2: 1.47	ROUGE-L: 1.51
[80] ROUGE-1: 7.95	ROUGE-2: 5.53	ROUGE-L: 6.20
[81] ROUGE-1: 15.65	ROUGE-2: 15.13	ROUGE-L: 15.65
[82] ROUGE-1: 23.67	ROUGE-2: 23.19	ROUGE-L: 23.67
[83] ROUGE-1: 4.69	ROUGE-2: 4.37	ROUGE-L: 4.20
[84] ROUGE-1: 4.63	ROUGE-2: 4.34	ROUGE-L: 4.43
[85] ROUGE-1: 38.76	ROUGE-2: 35.80	ROUGE-L: 31.78
[86] ROUGE-1: 2.02	ROUGE-2: 1.96	ROUGE-L: 2.02
[87] ROUGE-1: 11.10	ROUGE-2: 10.47	ROUGE-L: 10.76
[88] ROUGE-1: 2.80	ROUGE-2: 2.74	ROUGE-L: 2.80
[89] ROUGE-1: 3.00	ROUGE-2: 2.94	ROUGE-L: 3.00
[90] ROUGE-1: 19.54	ROUGE-2: 18.43	ROUGE-L: 15.40
[91] ROUGE-1: 3.18	ROUGE-2: 2.99	ROUGE-L: 3.18
[92] ROUGE-1: 8.97	ROUGE-2: 8.69	ROUGE-L: 8.97
[93] ROUGE-1: 11.36	ROUGE-2: 9.63	ROUGE-L: 9.32
[94] ROUGE-1: 3.25	ROUGE-2: 3.16	ROUGE-L: 3.25
[95] ROUGE-1: 8.16	ROUGE-2: 7.98	ROUGE-L: 8.07
[96] ROUGE-1: 1.68	ROUGE-2: 1.28	ROUGE-L: 1.51
[97] ROUGE-1: 30.09	ROUGE-2: 28.77	ROUGE-L: 30.09
[98] ROUGE-1: 34.74	ROUGE-2: 24.30	ROUGE-L: 24.82
[99] ROUGE-1: 5.75	ROUGE-2: 5.57	ROUGE-L: 5.72
[100] ROUGE-1: 5.64	ROUGE-2: 5.32	ROUGE-L: 5.57
