[1] ROUGE-1: 45.30	ROUGE-2: 30.98	ROUGE-L: 31.54
[2] ROUGE-1: 63.01	ROUGE-2: 50.14	ROUGE-L: 50.41
[3] ROUGE-1: 40.56	ROUGE-2: 39.98	ROUGE-L: 40.56
[4] ROUGE-1: 62.93	ROUGE-2: 59.03	ROUGE-L: 62.04
[5] ROUGE-1: 46.08	ROUGE-2: 43.58	ROUGE-L: 44.42
[6] ROUGE-1: 41.25	ROUGE-2: 39.46	ROUGE-L: 38.16
[7] ROUGE-1: 54.43	ROUGE-2: 43.85	ROUGE-L: 42.90
[8] ROUGE-1: 46.27	ROUGE-2: 43.97	ROUGE-L: 42.09
[9] ROUGE-1: 53.74	ROUGE-2: 52.50	ROUGE-L: 53.74
[10] ROUGE-1: 57.78	ROUGE-2: 56.28	ROUGE-L: 56.09
[11] ROUGE-1: 41.19	ROUGE-2: 38.83	ROUGE-L: 38.67
[12] ROUGE-1: 17.48	ROUGE-2: 13.88	ROUGE-L: 12.94
[13] ROUGE-1: 34.15	ROUGE-2: 25.37	ROUGE-L: 29.48
[14] ROUGE-1: 36.81	ROUGE-2: 35.57	ROUGE-L: 34.48
[15] ROUGE-1: 35.19	ROUGE-2: 34.13	ROUGE-L: 35.06
[16] ROUGE-1: 7.06	ROUGE-2: 7.00	ROUGE-L: 7.06
[17] ROUGE-1: 43.63	ROUGE-2: 41.88	ROUGE-L: 40.81
[18] ROUGE-1: 14.64	ROUGE-2: 13.69	ROUGE-L: 13.40
[19] ROUGE-1: 30.23	ROUGE-2: 28.44	ROUGE-L: 29.33
[20] ROUGE-1: 61.03	ROUGE-2: 58.20	ROUGE-L: 56.49
[21] ROUGE-1: 23.77	ROUGE-2: 22.20	ROUGE-L: 23.42
[22] ROUGE-1: 34.28	ROUGE-2: 33.10	ROUGE-L: 33.37
[23] ROUGE-1: 52.19	ROUGE-2: 51.29	ROUGE-L: 52.19
[24] ROUGE-1: 46.73	ROUGE-2: 45.10	ROUGE-L: 43.79
[25] ROUGE-1: 45.19	ROUGE-2: 43.93	ROUGE-L: 43.55
[26] ROUGE-1: 48.15	ROUGE-2: 44.03	ROUGE-L: 44.33
[27] ROUGE-1: 32.70	ROUGE-2: 30.92	ROUGE-L: 30.59
[28] ROUGE-1: 52.78	ROUGE-2: 49.68	ROUGE-L: 49.59
[29] ROUGE-1: 53.47	ROUGE-2: 52.14	ROUGE-L: 52.62
[30] ROUGE-1: 27.87	ROUGE-2: 27.37	ROUGE-L: 27.87
[31] ROUGE-1: 54.20	ROUGE-2: 51.62	ROUGE-L: 51.40
[32] ROUGE-1: 32.61	ROUGE-2: 31.49	ROUGE-L: 31.64
[33] ROUGE-1: 72.00	ROUGE-2: 68.07	ROUGE-L: 57.52
[34] ROUGE-1: 67.77	ROUGE-2: 66.22	ROUGE-L: 67.77
[35] ROUGE-1: 42.40	ROUGE-2: 40.42	ROUGE-L: 38.94
[36] ROUGE-1: 45.56	ROUGE-2: 43.64	ROUGE-L: 42.53
[37] ROUGE-1: 60.61	ROUGE-2: 59.67	ROUGE-L: 60.61
[38] ROUGE-1: 51.45	ROUGE-2: 50.05	ROUGE-L: 50.21
[39] ROUGE-1: 49.86	ROUGE-2: 48.13	ROUGE-L: 46.63
[40] ROUGE-1: 45.06	ROUGE-2: 43.74	ROUGE-L: 42.26
[41] ROUGE-1: 48.43	ROUGE-2: 46.03	ROUGE-L: 45.36
[42] ROUGE-1: 44.97	ROUGE-2: 42.55	ROUGE-L: 37.45
[43] ROUGE-1: 49.45	ROUGE-2: 42.07	ROUGE-L: 40.06
[44] ROUGE-1: 41.45	ROUGE-2: 35.42	ROUGE-L: 36.40
[45] ROUGE-1: 58.30	ROUGE-2: 53.31	ROUGE-L: 54.71
[46] ROUGE-1: 52.84	ROUGE-2: 47.41	ROUGE-L: 46.57
[47] ROUGE-1: 41.98	ROUGE-2: 38.30	ROUGE-L: 38.44
[48] ROUGE-1: 43.78	ROUGE-2: 41.21	ROUGE-L: 40.35
[49] ROUGE-1: 72.43	ROUGE-2: 68.28	ROUGE-L: 68.11
[50] ROUGE-1: 49.83	ROUGE-2: 47.28	ROUGE-L: 47.39
[51] ROUGE-1: 46.28	ROUGE-2: 40.81	ROUGE-L: 41.19
[52] ROUGE-1: 51.91	ROUGE-2: 50.44	ROUGE-L: 50.08
[53] ROUGE-1: 46.46	ROUGE-2: 44.41	ROUGE-L: 42.51
[54] ROUGE-1: 46.24	ROUGE-2: 44.96	ROUGE-L: 46.09
[55] ROUGE-1: 42.54	ROUGE-2: 40.67	ROUGE-L: 39.47
[56] ROUGE-1: 64.37	ROUGE-2: 53.55	ROUGE-L: 52.83
[57] ROUGE-1: 56.26	ROUGE-2: 53.99	ROUGE-L: 53.24
[58] ROUGE-1: 54.33	ROUGE-2: 50.33	ROUGE-L: 50.52
[59] ROUGE-1: 38.03	ROUGE-2: 36.12	ROUGE-L: 35.84
[60] ROUGE-1: 31.33	ROUGE-2: 30.07	ROUGE-L: 30.54
[61] ROUGE-1: 34.60	ROUGE-2: 32.94	ROUGE-L: 32.15
[62] ROUGE-1: 42.04	ROUGE-2: 40.05	ROUGE-L: 40.14
[63] ROUGE-1: 16.31	ROUGE-2: 16.15	ROUGE-L: 16.31
[64] ROUGE-1: 43.67	ROUGE-2: 39.46	ROUGE-L: 42.08
[65] ROUGE-1: 56.64	ROUGE-2: 54.85	ROUGE-L: 55.42
[66] ROUGE-1: 26.81	ROUGE-2: 25.64	ROUGE-L: 26.51
[67] ROUGE-1: 52.37	ROUGE-2: 50.91	ROUGE-L: 50.11
[68] ROUGE-1: 31.86	ROUGE-2: 31.00	ROUGE-L: 30.39
[69] ROUGE-1: 38.25	ROUGE-2: 36.85	ROUGE-L: 38.10
[70] ROUGE-1: 55.35	ROUGE-2: 53.34	ROUGE-L: 53.46
[71] ROUGE-1: 48.35	ROUGE-2: 46.48	ROUGE-L: 45.68
[72] ROUGE-1: 25.13	ROUGE-2: 23.83	ROUGE-L: 23.62
[73] ROUGE-1: 38.01	ROUGE-2: 36.45	ROUGE-L: 35.20
[74] ROUGE-1: 48.09	ROUGE-2: 45.35	ROUGE-L: 43.91
[75] ROUGE-1: 27.62	ROUGE-2: 26.52	ROUGE-L: 26.31
[76] ROUGE-1: 40.63	ROUGE-2: 38.86	ROUGE-L: 38.25
[77] ROUGE-1: 23.12	ROUGE-2: 21.60	ROUGE-L: 22.18
[78] ROUGE-1: 54.37	ROUGE-2: 52.74	ROUGE-L: 52.90
[79] ROUGE-1: 32.63	ROUGE-2: 31.58	ROUGE-L: 31.30
[80] ROUGE-1: 58.27	ROUGE-2: 56.09	ROUGE-L: 58.05
[81] ROUGE-1: 15.65	ROUGE-2: 15.13	ROUGE-L: 15.65
[82] ROUGE-1: 35.22	ROUGE-2: 26.36	ROUGE-L: 29.92
[83] ROUGE-1: 50.33	ROUGE-2: 47.81	ROUGE-L: 46.71
[84] ROUGE-1: 52.64	ROUGE-2: 50.26	ROUGE-L: 47.59
[85] ROUGE-1: 38.76	ROUGE-2: 35.80	ROUGE-L: 31.78
[86] ROUGE-1: 55.43	ROUGE-2: 54.12	ROUGE-L: 54.09
[87] ROUGE-1: 55.88	ROUGE-2: 54.42	ROUGE-L: 53.05
[88] ROUGE-1: 52.57	ROUGE-2: 50.11	ROUGE-L: 49.40
[89] ROUGE-1: 33.03	ROUGE-2: 31.17	ROUGE-L: 30.89
[90] ROUGE-1: 39.22	ROUGE-2: 38.28	ROUGE-L: 39.22
[91] ROUGE-1: 23.43	ROUGE-2: 22.10	ROUGE-L: 22.02
[92] ROUGE-1: 32.05	ROUGE-2: 30.45	ROUGE-L: 31.45
[93] ROUGE-1: 40.16	ROUGE-2: 36.92	ROUGE-L: 34.82
[94] ROUGE-1: 56.67	ROUGE-2: 55.38	ROUGE-L: 56.47
[95] ROUGE-1: 41.72	ROUGE-2: 39.70	ROUGE-L: 39.64
[96] ROUGE-1: 27.92	ROUGE-2: 26.39	ROUGE-L: 25.76
[97] ROUGE-1: 47.04	ROUGE-2: 42.19	ROUGE-L: 42.99
[98] ROUGE-1: 29.04	ROUGE-2: 20.29	ROUGE-L: 23.82
[99] ROUGE-1: 39.82	ROUGE-2: 38.22	ROUGE-L: 38.26
[100] ROUGE-1: 21.47	ROUGE-2: 20.20	ROUGE-L: 20.83
