[1] ROUGE-1: 18.48	ROUGE-2: 17.95	ROUGE-L: 17.64
[2] ROUGE-1: 30.39	ROUGE-2: 28.88	ROUGE-L: 29.66
[3] ROUGE-1: 35.35	ROUGE-2: 34.49	ROUGE-L: 35.29
[4] ROUGE-1: 41.79	ROUGE-2: 34.39	ROUGE-L: 31.67
[5] ROUGE-1: 13.26	ROUGE-2: 11.63	ROUGE-L: 11.70
[6] ROUGE-1: 23.96	ROUGE-2: 22.95	ROUGE-L: 22.46
[7] ROUGE-1: 36.76	ROUGE-2: 34.20	ROUGE-L: 33.54
[8] ROUGE-1: 27.06	ROUGE-2: 22.61	ROUGE-L: 22.81
[9] ROUGE-1: 18.71	ROUGE-2: 17.19	ROUGE-L: 17.21
[10] ROUGE-1: 11.65	ROUGE-2: 9.05	ROUGE-L: 9.91
[11] ROUGE-1: 29.11	ROUGE-2: 27.93	ROUGE-L: 26.56
[12] ROUGE-1: 30.16	ROUGE-2: 28.93	ROUGE-L: 28.98
[13] ROUGE-1: 25.22	ROUGE-2: 24.61	ROUGE-L: 25.14
[14] ROUGE-1: 21.42	ROUGE-2: 19.90	ROUGE-L: 19.65
[15] ROUGE-1: 33.90	ROUGE-2: 29.54	ROUGE-L: 28.63
[16] ROUGE-1: 18.29	ROUGE-2: 16.76	ROUGE-L: 15.30
[17] ROUGE-1: 17.09	ROUGE-2: 16.16	ROUGE-L: 16.64
[18] ROUGE-1: 29.64	ROUGE-2: 28.51	ROUGE-L: 27.02
[19] ROUGE-1: 22.88	ROUGE-2: 22.14	ROUGE-L: 22.36
[20] ROUGE-1: 8.14	ROUGE-2: 7.13	ROUGE-L: 7.51
[21] ROUGE-1: 28.01	ROUGE-2: 24.51	ROUGE-L: 22.98
[22] ROUGE-1: 49.74	ROUGE-2: 48.95	ROUGE-L: 49.74
[23] ROUGE-1: 13.00	ROUGE-2: 12.62	ROUGE-L: 13.00
[24] ROUGE-1: 40.39	ROUGE-2: 29.58	ROUGE-L: 29.99
[25] ROUGE-1: 29.69	ROUGE-2: 28.35	ROUGE-L: 27.67
[26] ROUGE-1: 38.51	ROUGE-2: 33.92	ROUGE-L: 31.74
[27] ROUGE-1: 25.08	ROUGE-2: 23.11	ROUGE-L: 23.75
[28] ROUGE-1: 38.80	ROUGE-2: 37.70	ROUGE-L: 38.26
[29] ROUGE-1: 44.83	ROUGE-2: 42.75	ROUGE-L: 41.32
[30] ROUGE-1: 22.61	ROUGE-2: 20.93	ROUGE-L: 20.72
[31] ROUGE-1: 25.47	ROUGE-2: 24.07	ROUGE-L: 24.34
[32] ROUGE-1: 34.28	ROUGE-2: 32.53	ROUGE-L: 32.48
[33] ROUGE-1: 33.61	ROUGE-2: 31.91	ROUGE-L: 29.15
[34] ROUGE-1: 21.22	ROUGE-2: 20.11	ROUGE-L: 20.41
[35] ROUGE-1: 17.56	ROUGE-2: 16.06	ROUGE-L: 16.34
[36] ROUGE-1: 19.74	ROUGE-2: 19.02	ROUGE-L: 19.50
[37] ROUGE-1: 9.34	ROUGE-2: 7.81	ROUGE-L: 8.49
[38] ROUGE-1: 27.29	ROUGE-2: 26.28	ROUGE-L: 25.83
[39] ROUGE-1: 26.44	ROUGE-2: 18.07	ROUGE-L: 16.46
[40] ROUGE-1: 29.60	ROUGE-2: 27.78	ROUGE-L: 27.10
[41] ROUGE-1: 29.37	ROUGE-2: 28.61	ROUGE-L: 28.49
[42] ROUGE-1: 50.29	ROUGE-2: 48.47	ROUGE-L: 46.65
[43] ROUGE-1: 22.45	ROUGE-2: 21.14	ROUGE-L: 21.27
[44] ROUGE-1: 24.08	ROUGE-2: 23.50	ROUGE-L: 24.01
[45] ROUGE-1: 23.42	ROUGE-2: 22.80	ROUGE-L: 23.42
[46] ROUGE-1: 23.17	ROUGE-2: 22.67	ROUGE-L: 23.17
[47] ROUGE-1: 25.10	ROUGE-2: 24.32	ROUGE-L: 24.25
[48] ROUGE-1: 45.07	ROUGE-2: 42.11	ROUGE-L: 44.81
[49] ROUGE-1: 18.96	ROUGE-2: 16.11	ROUGE-L: 15.88
[50] ROUGE-1: 29.05	ROUGE-2: 27.62	ROUGE-L: 27.27
[51] ROUGE-1: 31.42	ROUGE-2: 30.62	ROUGE-L: 30.55
[52] ROUGE-1: 29.98	ROUGE-2: 28.85	ROUGE-L: 28.94
[53] ROUGE-1: 47.33	ROUGE-2: 45.28	ROUGE-L: 46.98
