[1] ROUGE-1: 28.97	ROUGE-2: 26.69	ROUGE-L: 28.97
[2] ROUGE-1: 63.01	ROUGE-2: 50.14	ROUGE-L: 50.41
[3] ROUGE-1: 20.08	ROUGE-2: 19.61	ROUGE-L: 20.08
[4] ROUGE-1: 24.96	ROUGE-2: 23.60	ROUGE-L: 24.96
[5] ROUGE-1: 14.23	ROUGE-2: 13.48	ROUGE-L: 11.91
[6] ROUGE-1: 14.66	ROUGE-2: 13.02	ROUGE-L: 11.13
[7] ROUGE-1: 24.63	ROUGE-2: 23.88	ROUGE-L: 24.63
[8] ROUGE-1: 7.82	ROUGE-2: 7.43	ROUGE-L: 7.63
[9] ROUGE-1: 40.18	ROUGE-2: 39.34	ROUGE-L: 40.18
[10] ROUGE-1: 15.53	ROUGE-2: 15.04	ROUGE-L: 15.47
[11] ROUGE-1: 10.66	ROUGE-2: 9.62	ROUGE-L: 9.72
[12] ROUGE-1: 17.48	ROUGE-2: 13.88	ROUGE-L: 12.94
[13] ROUGE-1: 34.15	ROUGE-2: 25.37	ROUGE-L: 29.48
[14] ROUGE-1: 7.04	ROUGE-2: 6.38	ROUGE-L: 6.25
[15] ROUGE-1: 4.64	ROUGE-2: 4.40	ROUGE-L: 4.64
[16] ROUGE-1: 7.06	ROUGE-2: 7.00	ROUGE-L: 7.06
[17] ROUGE-1: 17.02	ROUGE-2: 16.12	ROUGE-L: 15.90
[18] ROUGE-1: 14.64	ROUGE-2: 13.69	ROUGE-L: 13.40
[19] ROUGE-1: 4.67	ROUGE-2: 4.40	ROUGE-L: 4.67
[20] ROUGE-1: 16.14	ROUGE-2: 15.29	ROUGE-L: 14.88
[21] ROUGE-1: 15.32	ROUGE-2: 13.95	ROUGE-L: 14.21
[22] ROUGE-1: 8.76	ROUGE-2: 8.34	ROUGE-L: 8.55
[23] ROUGE-1: 26.11	ROUGE-2: 23.21	ROUGE-L: 24.04
[24] ROUGE-1: 7.83	ROUGE-2: 7.41	ROUGE-L: 7.18
[25] ROUGE-1: 6.86	ROUGE-2: 6.73	ROUGE-L: 6.60
[26] ROUGE-1: 12.55	ROUGE-2: 10.52	ROUGE-L: 10.80
[27] ROUGE-1: 10.31	ROUGE-2: 9.74	ROUGE-L: 9.50
[28] ROUGE-1: 20.07	ROUGE-2: 18.92	ROUGE-L: 18.63
[29] ROUGE-1: 27.53	ROUGE-2: 26.87	ROUGE-L: 26.27
[30] ROUGE-1: 27.87	ROUGE-2: 27.37	ROUGE-L: 27.87
[31] ROUGE-1: 10.17	ROUGE-2: 8.12	ROUGE-L: 9.03
[32] ROUGE-1: 8.53	ROUGE-2: 8.28	ROUGE-L: 8.33
