[1] ROUGE-1: 45.30	ROUGE-2: 30.98	ROUGE-L: 31.54
[2] ROUGE-1: 63.01	ROUGE-2: 50.14	ROUGE-L: 50.41
[3] ROUGE-1: 62.50	ROUGE-2: 61.65	ROUGE-L: 62.43
[4] ROUGE-1: 62.93	ROUGE-2: 59.03	ROUGE-L: 62.04
[5] ROUGE-1: 60.30	ROUGE-2: 55.67	ROUGE-L: 56.41
[6] ROUGE-1: 60.87	ROUGE-2: 58.38	ROUGE-L: 56.99
[7] ROUGE-1: 54.43	ROUGE-2: 43.85	ROUGE-L: 42.90
[8] ROUGE-1: 56.82	ROUGE-2: 54.06	ROUGE-L: 53.34
[9] ROUGE-1: 65.96	ROUGE-2: 63.63	ROUGE-L: 65.05
[10] ROUGE-1: 64.47	ROUGE-2: 62.96	ROUGE-L: 61.85
[11] ROUGE-1: 56.30	ROUGE-2: 53.94	ROUGE-L: 52.71
[12] ROUGE-1: 48.19	ROUGE-2: 43.32	ROUGE-L: 43.62
[13] ROUGE-1: 34.15	ROUGE-2: 25.37	ROUGE-L: 29.48
[14] ROUGE-1: 57.43	ROUGE-2: 55.48	ROUGE-L: 54.54
[15] ROUGE-1: 56.32	ROUGE-2: 53.94	ROUGE-L: 53.50
[16] ROUGE-1: 35.95	ROUGE-2: 34.24	ROUGE-L: 32.49
[17] ROUGE-1: 57.84	ROUGE-2: 55.36	ROUGE-L: 53.21
[18] ROUGE-1: 14.64	ROUGE-2: 13.69	ROUGE-L: 13.40
[19] ROUGE-1: 51.93	ROUGE-2: 49.17	ROUGE-L: 50.97
[20] ROUGE-1: 63.68	ROUGE-2: 60.66	ROUGE-L: 59.19
[21] ROUGE-1: 55.01	ROUGE-2: 52.80	ROUGE-L: 51.60
[22] ROUGE-1: 59.32	ROUGE-2: 57.42	ROUGE-L: 57.11
[23] ROUGE-1: 62.82	ROUGE-2: 60.65	ROUGE-L: 61.89
[24] ROUGE-1: 54.91	ROUGE-2: 52.86	ROUGE-L: 50.47
[25] ROUGE-1: 54.25	ROUGE-2: 52.83	ROUGE-L: 52.43
[26] ROUGE-1: 62.00	ROUGE-2: 58.17	ROUGE-L: 58.74
[27] ROUGE-1: 47.83	ROUGE-2: 45.47	ROUGE-L: 45.40
[28] ROUGE-1: 61.37	ROUGE-2: 58.35	ROUGE-L: 58.37
[29] ROUGE-1: 67.51	ROUGE-2: 65.98	ROUGE-L: 66.78
[30] ROUGE-1: 53.94	ROUGE-2: 53.58	ROUGE-L: 53.94
[31] ROUGE-1: 60.35	ROUGE-2: 57.47	ROUGE-L: 59.68
[32] ROUGE-1: 54.78	ROUGE-2: 52.76	ROUGE-L: 52.65
[33] ROUGE-1: 72.00	ROUGE-2: 68.07	ROUGE-L: 57.52
[34] ROUGE-1: 67.77	ROUGE-2: 66.22	ROUGE-L: 67.77
[35] ROUGE-1: 52.39	ROUGE-2: 49.72	ROUGE-L: 48.85
[36] ROUGE-1: 56.16	ROUGE-2: 53.79	ROUGE-L: 51.96
[37] ROUGE-1: 71.92	ROUGE-2: 71.08	ROUGE-L: 71.92
[38] ROUGE-1: 65.42	ROUGE-2: 63.52	ROUGE-L: 62.62
[39] ROUGE-1: 64.78	ROUGE-2: 62.61	ROUGE-L: 61.19
[40] ROUGE-1: 55.56	ROUGE-2: 53.85	ROUGE-L: 51.92
[41] ROUGE-1: 61.16	ROUGE-2: 58.96	ROUGE-L: 57.38
[42] ROUGE-1: 56.54	ROUGE-2: 53.83	ROUGE-L: 49.85
[43] ROUGE-1: 69.01	ROUGE-2: 61.87	ROUGE-L: 57.37
[44] ROUGE-1: 66.18	ROUGE-2: 59.84	ROUGE-L: 58.71
[45] ROUGE-1: 58.30	ROUGE-2: 53.31	ROUGE-L: 54.71
[46] ROUGE-1: 69.14	ROUGE-2: 63.77	ROUGE-L: 61.84
[47] ROUGE-1: 58.44	ROUGE-2: 54.79	ROUGE-L: 54.84
[48] ROUGE-1: 54.53	ROUGE-2: 51.65	ROUGE-L: 50.77
[49] ROUGE-1: 72.43	ROUGE-2: 68.28	ROUGE-L: 68.11
[50] ROUGE-1: 59.50	ROUGE-2: 56.39	ROUGE-L: 56.21
[51] ROUGE-1: 60.20	ROUGE-2: 54.31	ROUGE-L: 51.72
