[1] ROUGE-1: 28.97	ROUGE-2: 26.69	ROUGE-L: 28.97
[2] ROUGE-1: 62.59	ROUGE-2: 60.96	ROUGE-L: 62.59
[3] ROUGE-1: 11.35	ROUGE-2: 11.05	ROUGE-L: 11.35
[4] ROUGE-1: 24.96	ROUGE-2: 23.60	ROUGE-L: 24.96
[5] ROUGE-1: 28.94	ROUGE-2: 27.41	ROUGE-L: 27.80
[6] ROUGE-1: 41.69	ROUGE-2: 40.64	ROUGE-L: 40.35
[7] ROUGE-1: 39.81	ROUGE-2: 29.93	ROUGE-L: 27.96
[8] ROUGE-1: 24.95	ROUGE-2: 22.33	ROUGE-L: 21.62
[9] ROUGE-1: 21.14	ROUGE-2: 20.37	ROUGE-L: 21.14
[10] ROUGE-1: 13.30	ROUGE-2: 13.01	ROUGE-L: 13.24
[11] ROUGE-1: 24.85	ROUGE-2: 23.13	ROUGE-L: 23.37
[12] ROUGE-1: 17.48	ROUGE-2: 13.88	ROUGE-L: 12.94
[13] ROUGE-1: 34.15	ROUGE-2: 25.37	ROUGE-L: 29.48
[14] ROUGE-1: 16.06	ROUGE-2: 15.20	ROUGE-L: 15.20
[15] ROUGE-1: 8.64	ROUGE-2: 7.07	ROUGE-L: 7.30
[16] ROUGE-1: 7.06	ROUGE-2: 7.00	ROUGE-L: 7.06
[17] ROUGE-1: 16.07	ROUGE-2: 15.07	ROUGE-L: 15.02
[18] ROUGE-1: 14.64	ROUGE-2: 13.69	ROUGE-L: 13.40
[19] ROUGE-1: 11.30	ROUGE-2: 10.99	ROUGE-L: 11.30
[20] ROUGE-1: 44.82	ROUGE-2: 42.52	ROUGE-L: 41.83
[21] ROUGE-1: 16.38	ROUGE-2: 15.11	ROUGE-L: 15.65
[22] ROUGE-1: 19.40	ROUGE-2: 18.61	ROUGE-L: 18.99
[23] ROUGE-1: 26.11	ROUGE-2: 23.21	ROUGE-L: 24.04
[24] ROUGE-1: 23.29	ROUGE-2: 22.17	ROUGE-L: 21.72
[25] ROUGE-1: 23.46	ROUGE-2: 22.73	ROUGE-L: 22.35
[26] ROUGE-1: 20.68	ROUGE-2: 16.05	ROUGE-L: 15.75
[27] ROUGE-1: 15.96	ROUGE-2: 14.53	ROUGE-L: 14.93
[28] ROUGE-1: 19.00	ROUGE-2: 17.77	ROUGE-L: 18.18
[29] ROUGE-1: 29.72	ROUGE-2: 28.17	ROUGE-L: 28.23
[30] ROUGE-1: 27.87	ROUGE-2: 27.37	ROUGE-L: 27.87
[31] ROUGE-1: 38.52	ROUGE-2: 35.76	ROUGE-L: 37.17
[32] ROUGE-1: 23.91	ROUGE-2: 23.16	ROUGE-L: 23.28
[33] ROUGE-1: 52.65	ROUGE-2: 40.63	ROUGE-L: 43.22
[34] ROUGE-1: 67.77	ROUGE-2: 66.22	ROUGE-L: 67.77
[35] ROUGE-1: 15.91	ROUGE-2: 14.60	ROUGE-L: 14.40
[36] ROUGE-1: 21.89	ROUGE-2: 20.76	ROUGE-L: 20.41
[37] ROUGE-1: 37.31	ROUGE-2: 32.16	ROUGE-L: 32.10
[38] ROUGE-1: 32.97	ROUGE-2: 31.49	ROUGE-L: 29.83
[39] ROUGE-1: 37.95	ROUGE-2: 35.20	ROUGE-L: 35.65
[40] ROUGE-1: 19.27	ROUGE-2: 18.61	ROUGE-L: 18.04
[41] ROUGE-1: 18.17	ROUGE-2: 16.79	ROUGE-L: 16.85
[42] ROUGE-1: 17.01	ROUGE-2: 16.60	ROUGE-L: 17.01
[43] ROUGE-1: 52.24	ROUGE-2: 47.44	ROUGE-L: 47.91
[44] ROUGE-1: 20.42	ROUGE-2: 19.60	ROUGE-L: 18.31
[45] ROUGE-1: 21.66	ROUGE-2: 17.29	ROUGE-L: 16.42
[46] ROUGE-1: 29.06	ROUGE-2: 28.48	ROUGE-L: 28.90
[47] ROUGE-1: 13.98	ROUGE-2: 11.38	ROUGE-L: 12.59
[48] ROUGE-1: 16.85	ROUGE-2: 15.67	ROUGE-L: 15.26
[49] ROUGE-1: 32.65	ROUGE-2: 32.08	ROUGE-L: 30.61
[50] ROUGE-1: 24.82	ROUGE-2: 22.61	ROUGE-L: 23.15
[51] ROUGE-1: 12.48	ROUGE-2: 12.10	ROUGE-L: 12.22
[52] ROUGE-1: 29.32	ROUGE-2: 28.33	ROUGE-L: 27.80
[53] ROUGE-1: 26.05	ROUGE-2: 22.58	ROUGE-L: 22.02
[54] ROUGE-1: 21.47	ROUGE-2: 20.42	ROUGE-L: 20.32
[55] ROUGE-1: 19.46	ROUGE-2: 18.53	ROUGE-L: 17.84
[56] ROUGE-1: 37.21	ROUGE-2: 26.26	ROUGE-L: 23.99
[57] ROUGE-1: 34.62	ROUGE-2: 32.92	ROUGE-L: 34.08
[58] ROUGE-1: 33.28	ROUGE-2: 32.27	ROUGE-L: 31.01
[59] ROUGE-1: 18.23	ROUGE-2: 16.67	ROUGE-L: 16.61
[60] ROUGE-1: 20.69	ROUGE-2: 19.91	ROUGE-L: 20.41
[61] ROUGE-1: 7.22	ROUGE-2: 6.25	ROUGE-L: 5.72
[62] ROUGE-1: 23.62	ROUGE-2: 22.59	ROUGE-L: 23.14
[63] ROUGE-1: 26.43	ROUGE-2: 24.39	ROUGE-L: 24.35
[64] ROUGE-1: 24.43	ROUGE-2: 21.68	ROUGE-L: 22.14
[65] ROUGE-1: 20.31	ROUGE-2: 19.88	ROUGE-L: 20.16
[66] ROUGE-1: 14.07	ROUGE-2: 13.44	ROUGE-L: 14.07
[67] ROUGE-1: 32.53	ROUGE-2: 31.30	ROUGE-L: 32.34
[68] ROUGE-1: 16.46	ROUGE-2: 15.54	ROUGE-L: 15.46
[69] ROUGE-1: 12.64	ROUGE-2: 9.90	ROUGE-L: 10.83
[70] ROUGE-1: 22.57	ROUGE-2: 21.03	ROUGE-L: 20.80
[71] ROUGE-1: 25.21	ROUGE-2: 24.10	ROUGE-L: 24.05
[72] ROUGE-1: 7.02	ROUGE-2: 6.48	ROUGE-L: 6.72
[73] ROUGE-1: 10.35	ROUGE-2: 9.65	ROUGE-L: 9.84
[74] ROUGE-1: 18.03	ROUGE-2: 17.01	ROUGE-L: 16.82
[75] ROUGE-1: 8.83	ROUGE-2: 7.18	ROUGE-L: 6.45
[76] ROUGE-1: 12.05	ROUGE-2: 10.95	ROUGE-L: 10.99
[77] ROUGE-1: 3.06	ROUGE-2: 2.85	ROUGE-L: 2.88
[78] ROUGE-1: 25.83	ROUGE-2: 24.65	ROUGE-L: 24.80
[79] ROUGE-1: 9.52	ROUGE-2: 9.16	ROUGE-L: 9.05
[80] ROUGE-1: 29.98	ROUGE-2: 28.72	ROUGE-L: 27.23
[81] ROUGE-1: 15.65	ROUGE-2: 15.13	ROUGE-L: 15.65
[82] ROUGE-1: 35.22	ROUGE-2: 26.36	ROUGE-L: 29.92
[83] ROUGE-1: 23.18	ROUGE-2: 21.05	ROUGE-L: 21.49
[84] ROUGE-1: 18.75	ROUGE-2: 17.70	ROUGE-L: 17.27
[85] ROUGE-1: 60.69	ROUGE-2: 55.65	ROUGE-L: 52.53
[86] ROUGE-1: 34.44	ROUGE-2: 33.53	ROUGE-L: 33.44
[87] ROUGE-1: 32.30	ROUGE-2: 31.32	ROUGE-L: 32.16
[88] ROUGE-1: 24.45	ROUGE-2: 23.44	ROUGE-L: 24.23
[89] ROUGE-1: 13.37	ROUGE-2: 12.22	ROUGE-L: 12.65
[90] ROUGE-1: 19.54	ROUGE-2: 18.43	ROUGE-L: 15.40
[91] ROUGE-1: 6.73	ROUGE-2: 6.32	ROUGE-L: 6.25
[92] ROUGE-1: 17.57	ROUGE-2: 16.84	ROUGE-L: 17.57
[93] ROUGE-1: 25.31	ROUGE-2: 22.94	ROUGE-L: 23.19
[94] ROUGE-1: 31.21	ROUGE-2: 30.41	ROUGE-L: 30.04
[95] ROUGE-1: 18.84	ROUGE-2: 18.08	ROUGE-L: 18.27
[96] ROUGE-1: 11.68	ROUGE-2: 11.04	ROUGE-L: 11.37
[97] ROUGE-1: 30.09	ROUGE-2: 28.77	ROUGE-L: 30.09
[98] ROUGE-1: 29.04	ROUGE-2: 20.29	ROUGE-L: 23.82
[99] ROUGE-1: 18.07	ROUGE-2: 17.27	ROUGE-L: 17.55
[100] ROUGE-1: 10.67	ROUGE-2: 10.25	ROUGE-L: 10.61
