[77] ROUGE-1: 61.83	ROUGE-2: 59.73	ROUGE-L: 58.77
[78] ROUGE-1: 46.81	ROUGE-2: 44.67	ROUGE-L: 45.28
[79] ROUGE-1: 66.74	ROUGE-2: 63.99	ROUGE-L: 62.22
[80] ROUGE-1: 67.65	ROUGE-2: 64.88	ROUGE-L: 61.40
[81] ROUGE-1: 73.13	ROUGE-2: 67.38	ROUGE-L: 68.68
[82] ROUGE-1: 61.26	ROUGE-2: 59.00	ROUGE-L: 56.92
[83] ROUGE-1: 47.84	ROUGE-2: 46.25	ROUGE-L: 45.09
[84] ROUGE-1: 56.71	ROUGE-2: 54.84	ROUGE-L: 56.10
[85] ROUGE-1: 69.70	ROUGE-2: 65.87	ROUGE-L: 66.80
[86] ROUGE-1: 62.45	ROUGE-2: 57.46	ROUGE-L: 59.59
[87] ROUGE-1: 71.73	ROUGE-2: 64.81	ROUGE-L: 65.62
[88] ROUGE-1: 58.18	ROUGE-2: 55.62	ROUGE-L: 54.07
[89] ROUGE-1: 38.18	ROUGE-2: 31.62	ROUGE-L: 27.11
[90] ROUGE-1: 47.98	ROUGE-2: 46.16	ROUGE-L: 46.83
[91] ROUGE-1: 55.40	ROUGE-2: 53.25	ROUGE-L: 52.54
[92] ROUGE-1: 55.61	ROUGE-2: 52.38	ROUGE-L: 50.61
[93] ROUGE-1: 55.03	ROUGE-2: 50.67	ROUGE-L: 47.51
[94] ROUGE-1: 70.73	ROUGE-2: 68.11	ROUGE-L: 67.49
[95] ROUGE-1: 46.46	ROUGE-2: 43.81	ROUGE-L: 46.25
[96] ROUGE-1: 59.42	ROUGE-2: 57.10	ROUGE-L: 56.95
[97] ROUGE-1: 69.10	ROUGE-2: 66.35	ROUGE-L: 60.83
[98] ROUGE-1: 74.78	ROUGE-2: 72.09	ROUGE-L: 71.23
[99] ROUGE-1: 72.67	ROUGE-2: 70.66	ROUGE-L: 70.89
[100] ROUGE-1: 67.02	ROUGE-2: 65.02	ROUGE-L: 64.30
