[1] ROUGE-1: 8.17	ROUGE-2: 7.85	ROUGE-L: 7.31
[2] ROUGE-1: 19.59	ROUGE-2: 18.74	ROUGE-L: 16.50
[3] ROUGE-1: 16.01	ROUGE-2: 15.87	ROUGE-L: 8.39
[4] ROUGE-1: 53.79	ROUGE-2: 46.51	ROUGE-L: 30.96
[5] ROUGE-1: 18.60	ROUGE-2: 15.29	ROUGE-L: 11.63
[6] ROUGE-1: 13.21	ROUGE-2: 12.52	ROUGE-L: 10.47
[7] ROUGE-1: 46.15	ROUGE-2: 43.87	ROUGE-L: 34.03
[8] ROUGE-1: 44.31	ROUGE-2: 39.90	ROUGE-L: 41.00
[9] ROUGE-1: 21.94	ROUGE-2: 20.60	ROUGE-L: 16.74
[10] ROUGE-1: 16.30	ROUGE-2: 12.88	ROUGE-L: 13.29
[11] ROUGE-1: 18.09	ROUGE-2: 16.73	ROUGE-L: 14.97
[12] ROUGE-1: 13.88	ROUGE-2: 13.26	ROUGE-L: 11.41
[13] ROUGE-1: 13.95	ROUGE-2: 13.54	ROUGE-L: 11.05
[14] ROUGE-1: 12.54	ROUGE-2: 11.67	ROUGE-L: 9.74
[15] ROUGE-1: 27.07	ROUGE-2: 22.79	ROUGE-L: 12.35
[16] ROUGE-1: 13.24	ROUGE-2: 11.95	ROUGE-L: 10.43
[17] ROUGE-1: 12.37	ROUGE-2: 11.32	ROUGE-L: 10.20
[18] ROUGE-1: 11.42	ROUGE-2: 10.79	ROUGE-L: 8.96
[19] ROUGE-1: 14.89	ROUGE-2: 14.36	ROUGE-L: 12.24
[20] ROUGE-1: 25.08	ROUGE-2: 24.13	ROUGE-L: 19.82
[21] ROUGE-1: 39.18	ROUGE-2: 35.32	ROUGE-L: 25.89
[22] ROUGE-1: 75.59	ROUGE-2: 74.19	ROUGE-L: 49.24
[23] ROUGE-1: 13.00	ROUGE-2: 12.62	ROUGE-L: 13.00
[24] ROUGE-1: 40.39	ROUGE-2: 29.58	ROUGE-L: 27.33
[25] ROUGE-1: 20.17	ROUGE-2: 18.76	ROUGE-L: 15.87
[26] ROUGE-1: 38.51	ROUGE-2: 33.68	ROUGE-L: 22.17
[27] ROUGE-1: 31.31	ROUGE-2: 27.50	ROUGE-L: 21.82
[28] ROUGE-1: 5.88	ROUGE-2: 5.77	ROUGE-L: 4.78
[29] ROUGE-1: 23.47	ROUGE-2: 22.91	ROUGE-L: 17.76
[30] ROUGE-1: 15.92	ROUGE-2: 13.89	ROUGE-L: 10.69
[31] ROUGE-1: 10.83	ROUGE-2: 10.41	ROUGE-L: 8.93
[32] ROUGE-1: 12.89	ROUGE-2: 12.21	ROUGE-L: 11.01
[33] ROUGE-1: 15.73	ROUGE-2: 14.49	ROUGE-L: 10.37
[34] ROUGE-1: 16.65	ROUGE-2: 15.86	ROUGE-L: 14.01
[35] ROUGE-1: 23.14	ROUGE-2: 22.34	ROUGE-L: 20.23
[36] ROUGE-1: 13.63	ROUGE-2: 12.64	ROUGE-L: 10.44
[37] ROUGE-1: 18.70	ROUGE-2: 15.95	ROUGE-L: 15.34
[38] ROUGE-1: 15.20	ROUGE-2: 14.59	ROUGE-L: 12.78
[39] ROUGE-1: 34.62	ROUGE-2: 24.98	ROUGE-L: 25.27
[40] ROUGE-1: 14.86	ROUGE-2: 14.33	ROUGE-L: 11.78
[41] ROUGE-1: 24.72	ROUGE-2: 23.59	ROUGE-L: 20.67
[42] ROUGE-1: 24.34	ROUGE-2: 15.56	ROUGE-L: 15.32
[43] ROUGE-1: 18.17	ROUGE-2: 16.96	ROUGE-L: 15.26
[44] ROUGE-1: 17.30	ROUGE-2: 16.74	ROUGE-L: 14.18
[45] ROUGE-1: 45.06	ROUGE-2: 37.52	ROUGE-L: 37.07
[46] ROUGE-1: 32.17	ROUGE-2: 29.43	ROUGE-L: 25.47
[47] ROUGE-1: 11.89	ROUGE-2: 11.22	ROUGE-L: 10.04
[48] ROUGE-1: 35.32	ROUGE-2: 29.17	ROUGE-L: 20.00
[49] ROUGE-1: 28.66	ROUGE-2: 25.67	ROUGE-L: 16.68
[50] ROUGE-1: 8.93	ROUGE-2: 7.65	ROUGE-L: 6.04
[51] ROUGE-1: 25.26	ROUGE-2: 24.31	ROUGE-L: 19.04
[52] ROUGE-1: 6.93	ROUGE-2: 6.46	ROUGE-L: 5.31
[53] ROUGE-1: 32.56	ROUGE-2: 28.74	ROUGE-L: 17.25
[54] ROUGE-1: 15.91	ROUGE-2: 14.07	ROUGE-L: 7.95
[55] ROUGE-1: 18.52	ROUGE-2: 14.71	ROUGE-L: 9.62
