[1] ROUGE-1: 54.12	ROUGE-2: 50.25	ROUGE-L: 40.67
[2] ROUGE-1: 62.59	ROUGE-2: 60.96	ROUGE-L: 62.59
[3] ROUGE-1: 37.73	ROUGE-2: 36.96	ROUGE-L: 36.84
[4] ROUGE-1: 24.96	ROUGE-2: 23.60	ROUGE-L: 24.96
[5] ROUGE-1: 47.04	ROUGE-2: 44.67	ROUGE-L: 41.17
[6] ROUGE-1: 48.49	ROUGE-2: 47.56	ROUGE-L: 48.49
[7] ROUGE-1: 39.81	ROUGE-2: 29.93	ROUGE-L: 27.96
[8] ROUGE-1: 40.44	ROUGE-2: 37.28	ROUGE-L: 35.71
[9] ROUGE-1: 35.67	ROUGE-2: 33.68	ROUGE-L: 29.32
[10] ROUGE-1: 40.56	ROUGE-2: 39.56	ROUGE-L: 39.83
[11] ROUGE-1: 35.52	ROUGE-2: 33.73	ROUGE-L: 33.47
[12] ROUGE-1: 46.39	ROUGE-2: 42.43	ROUGE-L: 39.46
[13] ROUGE-1: 34.15	ROUGE-2: 25.37	ROUGE-L: 29.48
[14] ROUGE-1: 30.56	ROUGE-2: 29.44	ROUGE-L: 29.42
[15] ROUGE-1: 17.32	ROUGE-2: 15.18	ROUGE-L: 14.86
[16] ROUGE-1: 14.30	ROUGE-2: 13.96	ROUGE-L: 13.25
[17] ROUGE-1: 37.15	ROUGE-2: 35.73	ROUGE-L: 34.67
[18] ROUGE-1: 14.64	ROUGE-2: 13.69	ROUGE-L: 13.40
[19] ROUGE-1: 15.46	ROUGE-2: 15.01	ROUGE-L: 15.46
[20] ROUGE-1: 47.20	ROUGE-2: 43.53	ROUGE-L: 42.65
[21] ROUGE-1: 45.45	ROUGE-2: 43.47	ROUGE-L: 43.90
[22] ROUGE-1: 43.36	ROUGE-2: 41.82	ROUGE-L: 40.83
[23] ROUGE-1: 46.22	ROUGE-2: 42.88	ROUGE-L: 32.14
[24] ROUGE-1: 32.92	ROUGE-2: 31.50	ROUGE-L: 31.44
[25] ROUGE-1: 33.37	ROUGE-2: 31.96	ROUGE-L: 32.07
[26] ROUGE-1: 31.71	ROUGE-2: 28.02	ROUGE-L: 28.37
[27] ROUGE-1: 30.13	ROUGE-2: 28.15	ROUGE-L: 27.21
[28] ROUGE-1: 36.34	ROUGE-2: 34.87	ROUGE-L: 35.91
[29] ROUGE-1: 45.06	ROUGE-2: 43.30	ROUGE-L: 43.74
[30] ROUGE-1: 27.87	ROUGE-2: 27.37	ROUGE-L: 27.87
[31] ROUGE-1: 54.72	ROUGE-2: 51.99	ROUGE-L: 53.59
[32] ROUGE-1: 36.09	ROUGE-2: 34.92	ROUGE-L: 35.27
[33] ROUGE-1: 52.65	ROUGE-2: 40.63	ROUGE-L: 43.22
[34] ROUGE-1: 67.77	ROUGE-2: 66.22	ROUGE-L: 67.77
[35] ROUGE-1: 22.99	ROUGE-2: 21.47	ROUGE-L: 21.54
[36] ROUGE-1: 37.34	ROUGE-2: 35.63	ROUGE-L: 34.92
[37] ROUGE-1: 53.21	ROUGE-2: 47.87	ROUGE-L: 47.78
[38] ROUGE-1: 48.53	ROUGE-2: 46.58	ROUGE-L: 45.79
[39] ROUGE-1: 48.39	ROUGE-2: 45.42	ROUGE-L: 46.14
[40] ROUGE-1: 37.51	ROUGE-2: 36.33	ROUGE-L: 35.41
[41] ROUGE-1: 40.85	ROUGE-2: 39.40	ROUGE-L: 39.12
[42] ROUGE-1: 31.54	ROUGE-2: 30.70	ROUGE-L: 31.46
[43] ROUGE-1: 52.24	ROUGE-2: 47.44	ROUGE-L: 47.91
[44] ROUGE-1: 46.15	ROUGE-2: 44.92	ROUGE-L: 44.70
[45] ROUGE-1: 33.95	ROUGE-2: 29.12	ROUGE-L: 29.87
[46] ROUGE-1: 52.79	ROUGE-2: 51.66	ROUGE-L: 52.79
[47] ROUGE-1: 34.40	ROUGE-2: 30.44	ROUGE-L: 28.69
[48] ROUGE-1: 31.27	ROUGE-2: 29.42	ROUGE-L: 28.81
[49] ROUGE-1: 62.29	ROUGE-2: 59.66	ROUGE-L: 57.54
[50] ROUGE-1: 39.49	ROUGE-2: 37.73	ROUGE-L: 37.68
[51] ROUGE-1: 32.83	ROUGE-2: 31.71	ROUGE-L: 31.79
[52] ROUGE-1: 41.77	ROUGE-2: 40.31	ROUGE-L: 40.69
