[1] ROUGE-1: 45.30	ROUGE-2: 30.98	ROUGE-L: 31.54
[2] ROUGE-1: 62.59	ROUGE-2: 60.96	ROUGE-L: 62.59
[3] ROUGE-1: 22.87	ROUGE-2: 22.50	ROUGE-L: 22.87
[4] ROUGE-1: 46.23	ROUGE-2: 43.07	ROUGE-L: 45.48
[5] ROUGE-1: 27.69	ROUGE-2: 25.72	ROUGE-L: 27.40
[6] ROUGE-1: 37.06	ROUGE-2: 36.46	ROUGE-L: 37.06
[7] ROUGE-1: 46.34	ROUGE-2: 43.60	ROUGE-L: 44.44
[8] ROUGE-1: 25.63	ROUGE-2: 23.08	ROUGE-L: 23.21
[9] ROUGE-1: 50.80	ROUGE-2: 48.69	ROUGE-L: 49.79
[10] ROUGE-1: 18.63	ROUGE-2: 18.18	ROUGE-L: 18.57
[11] ROUGE-1: 23.60	ROUGE-2: 21.53	ROUGE-L: 20.40
[12] ROUGE-1: 17.48	ROUGE-2: 13.88	ROUGE-L: 12.94
[13] ROUGE-1: 25.56	ROUGE-2: 24.23	ROUGE-L: 25.56
[14] ROUGE-1: 9.06	ROUGE-2: 8.66	ROUGE-L: 8.43
[15] ROUGE-1: 13.49	ROUGE-2: 11.69	ROUGE-L: 11.77
[16] ROUGE-1: 13.52	ROUGE-2: 13.24	ROUGE-L: 13.52
[17] ROUGE-1: 26.40	ROUGE-2: 25.44	ROUGE-L: 24.31
[18] ROUGE-1: 26.24	ROUGE-2: 23.04	ROUGE-L: 20.81
[19] ROUGE-1: 10.35	ROUGE-2: 9.93	ROUGE-L: 10.35
[20] ROUGE-1: 37.84	ROUGE-2: 36.34	ROUGE-L: 36.52
[21] ROUGE-1: 38.30	ROUGE-2: 36.63	ROUGE-L: 35.14
[22] ROUGE-1: 22.83	ROUGE-2: 21.69	ROUGE-L: 21.44
[23] ROUGE-1: 52.19	ROUGE-2: 51.29	ROUGE-L: 52.19
[24] ROUGE-1: 22.74	ROUGE-2: 21.94	ROUGE-L: 21.39
[25] ROUGE-1: 21.63	ROUGE-2: 21.06	ROUGE-L: 21.33
[26] ROUGE-1: 20.68	ROUGE-2: 16.05	ROUGE-L: 15.75
[27] ROUGE-1: 24.65	ROUGE-2: 21.90	ROUGE-L: 21.73
[28] ROUGE-1: 37.35	ROUGE-2: 35.40	ROUGE-L: 34.88
[29] ROUGE-1: 29.41	ROUGE-2: 28.55	ROUGE-L: 28.03
[30] ROUGE-1: 53.94	ROUGE-2: 53.58	ROUGE-L: 53.94
[31] ROUGE-1: 41.36	ROUGE-2: 39.67	ROUGE-L: 41.26
[32] ROUGE-1: 23.78	ROUGE-2: 22.94	ROUGE-L: 23.20
[33] ROUGE-1: 39.72	ROUGE-2: 36.58	ROUGE-L: 39.72
[34] ROUGE-1: 67.77	ROUGE-2: 66.22	ROUGE-L: 67.77
[35] ROUGE-1: 8.43	ROUGE-2: 7.36	ROUGE-L: 8.24
[36] ROUGE-1: 24.46	ROUGE-2: 23.47	ROUGE-L: 23.38
[37] ROUGE-1: 44.19	ROUGE-2: 42.91	ROUGE-L: 43.99
[38] ROUGE-1: 41.95	ROUGE-2: 40.13	ROUGE-L: 41.74
[39] ROUGE-1: 38.39	ROUGE-2: 37.30	ROUGE-L: 36.12
[40] ROUGE-1: 28.18	ROUGE-2: 27.07	ROUGE-L: 26.09
[41] ROUGE-1: 23.55	ROUGE-2: 22.69	ROUGE-L: 22.86
[42] ROUGE-1: 24.42	ROUGE-2: 22.63	ROUGE-L: 22.61
[43] ROUGE-1: 49.45	ROUGE-2: 42.07	ROUGE-L: 40.06
[44] ROUGE-1: 17.51	ROUGE-2: 11.90	ROUGE-L: 12.41
[45] ROUGE-1: 35.59	ROUGE-2: 30.94	ROUGE-L: 31.94
[46] ROUGE-1: 46.00	ROUGE-2: 45.09	ROUGE-L: 46.00
[47] ROUGE-1: 19.19	ROUGE-2: 17.25	ROUGE-L: 17.84
