[1] ROUGE-1: 16.92	ROUGE-2: 16.17	ROUGE-L: 15.47
[2] ROUGE-1: 20.13	ROUGE-2: 18.60	ROUGE-L: 15.44
[3] ROUGE-1: 22.25	ROUGE-2: 21.82	ROUGE-L: 22.25
[4] ROUGE-1: 32.53	ROUGE-2: 30.44	ROUGE-L: 30.38
[5] ROUGE-1: 6.86	ROUGE-2: 6.02	ROUGE-L: 6.52
[6] ROUGE-1: 22.56	ROUGE-2: 21.75	ROUGE-L: 19.53
[7] ROUGE-1: 13.99	ROUGE-2: 12.17	ROUGE-L: 12.58
[8] ROUGE-1: 27.06	ROUGE-2: 22.61	ROUGE-L: 22.81
[9] ROUGE-1: 19.20	ROUGE-2: 18.15	ROUGE-L: 17.10
[10] ROUGE-1: 16.86	ROUGE-2: 14.18	ROUGE-L: 15.17
[11] ROUGE-1: 18.77	ROUGE-2: 17.70	ROUGE-L: 15.34
[12] ROUGE-1: 20.10	ROUGE-2: 19.14	ROUGE-L: 15.16
[13] ROUGE-1: 21.24	ROUGE-2: 20.66	ROUGE-L: 19.72
[14] ROUGE-1: 19.24	ROUGE-2: 17.98	ROUGE-L: 15.14
[15] ROUGE-1: 29.36	ROUGE-2: 27.48	ROUGE-L: 27.73
[16] ROUGE-1: 18.54	ROUGE-2: 16.84	ROUGE-L: 14.41
[17] ROUGE-1: 19.06	ROUGE-2: 17.89	ROUGE-L: 14.71
[18] ROUGE-1: 20.29	ROUGE-2: 18.88	ROUGE-L: 15.79
[19] ROUGE-1: 17.84	ROUGE-2: 16.85	ROUGE-L: 15.56
[20] ROUGE-1: 13.08	ROUGE-2: 12.48	ROUGE-L: 12.80
[21] ROUGE-1: 9.95	ROUGE-2: 9.61	ROUGE-L: 9.83
[22] ROUGE-1: 49.74	ROUGE-2: 48.95	ROUGE-L: 49.74
[23] ROUGE-1: 13.00	ROUGE-2: 12.62	ROUGE-L: 13.00
[24] ROUGE-1: 28.57	ROUGE-2: 27.27	ROUGE-L: 28.57
[25] ROUGE-1: 16.64	ROUGE-2: 15.08	ROUGE-L: 13.05
[26] ROUGE-1: 38.51	ROUGE-2: 33.92	ROUGE-L: 31.74
[27] ROUGE-1: 34.19	ROUGE-2: 32.42	ROUGE-L: 30.68
[28] ROUGE-1: 22.55	ROUGE-2: 21.99	ROUGE-L: 20.05
[29] ROUGE-1: 32.73	ROUGE-2: 31.83	ROUGE-L: 27.05
[30] ROUGE-1: 19.32	ROUGE-2: 17.72	ROUGE-L: 15.51
[31] ROUGE-1: 15.82	ROUGE-2: 15.06	ROUGE-L: 13.25
[32] ROUGE-1: 16.78	ROUGE-2: 15.76	ROUGE-L: 14.00
[33] ROUGE-1: 19.95	ROUGE-2: 17.62	ROUGE-L: 14.22
[34] ROUGE-1: 18.19	ROUGE-2: 17.21	ROUGE-L: 16.35
[35] ROUGE-1: 14.41	ROUGE-2: 13.88	ROUGE-L: 11.13
[36] ROUGE-1: 21.17	ROUGE-2: 20.07	ROUGE-L: 17.42
[37] ROUGE-1: 17.72	ROUGE-2: 16.13	ROUGE-L: 14.77
[38] ROUGE-1: 18.76	ROUGE-2: 17.83	ROUGE-L: 15.15
[39] ROUGE-1: 26.44	ROUGE-2: 18.07	ROUGE-L: 16.46
[40] ROUGE-1: 18.43	ROUGE-2: 17.75	ROUGE-L: 14.70
[41] ROUGE-1: 11.81	ROUGE-2: 11.33	ROUGE-L: 11.65
[42] ROUGE-1: 38.68	ROUGE-2: 29.65	ROUGE-L: 26.69
[43] ROUGE-1: 13.85	ROUGE-2: 12.06	ROUGE-L: 11.60
[44] ROUGE-1: 18.75	ROUGE-2: 18.05	ROUGE-L: 17.61
[45] ROUGE-1: 23.42	ROUGE-2: 22.80	ROUGE-L: 23.42
[46] ROUGE-1: 11.52	ROUGE-2: 11.23	ROUGE-L: 11.46
[47] ROUGE-1: 19.77	ROUGE-2: 19.22	ROUGE-L: 16.31
[48] ROUGE-1: 23.03	ROUGE-2: 21.64	ROUGE-L: 19.24
[49] ROUGE-1: 11.36	ROUGE-2: 11.14	ROUGE-L: 11.36
[50] ROUGE-1: 21.08	ROUGE-2: 19.67	ROUGE-L: 18.57
[51] ROUGE-1: 20.31	ROUGE-2: 19.50	ROUGE-L: 18.66
[52] ROUGE-1: 18.76	ROUGE-2: 18.09	ROUGE-L: 15.86
[53] ROUGE-1: 17.82	ROUGE-2: 14.03	ROUGE-L: 15.91
[54] ROUGE-1: 15.90	ROUGE-2: 14.33	ROUGE-L: 14.46
[55] ROUGE-1: 46.30	ROUGE-2: 42.04	ROUGE-L: 41.21
[56] ROUGE-1: 38.96	ROUGE-2: 38.60	ROUGE-L: 38.96
[57] ROUGE-1: 36.82	ROUGE-2: 24.94	ROUGE-L: 25.12
[58] ROUGE-1: 17.62	ROUGE-2: 16.66	ROUGE-L: 14.45
[59] ROUGE-1: 49.32	ROUGE-2: 46.33	ROUGE-L: 44.75
[60] ROUGE-1: 26.34	ROUGE-2: 25.22	ROUGE-L: 25.96
[61] ROUGE-1: 22.38	ROUGE-2: 21.15	ROUGE-L: 19.15
[62] ROUGE-1: 19.68	ROUGE-2: 18.70	ROUGE-L: 16.79
[63] ROUGE-1: 17.52	ROUGE-2: 16.20	ROUGE-L: 15.68
[64] ROUGE-1: 36.14	ROUGE-2: 27.54	ROUGE-L: 26.49
[65] ROUGE-1: 26.44	ROUGE-2: 24.62	ROUGE-L: 21.55
[66] ROUGE-1: 18.92	ROUGE-2: 17.54	ROUGE-L: 16.42
[67] ROUGE-1: 55.53	ROUGE-2: 53.91	ROUGE-L: 55.53
[68] ROUGE-1: 55.17	ROUGE-2: 53.33	ROUGE-L: 55.17
[69] ROUGE-1: 24.20	ROUGE-2: 22.97	ROUGE-L: 22.69
[70] ROUGE-1: 18.70	ROUGE-2: 17.24	ROUGE-L: 17.14
[71] ROUGE-1: 15.38	ROUGE-2: 14.47	ROUGE-L: 13.61
[72] ROUGE-1: 33.54	ROUGE-2: 32.80	ROUGE-L: 29.56
[73] ROUGE-1: 16.26	ROUGE-2: 15.73	ROUGE-L: 14.05
[74] ROUGE-1: 11.48	ROUGE-2: 11.21	ROUGE-L: 11.39
[75] ROUGE-1: 23.04	ROUGE-2: 20.90	ROUGE-L: 20.33
[76] ROUGE-1: 26.12	ROUGE-2: 24.94	ROUGE-L: 24.91
[77] ROUGE-1: 19.94	ROUGE-2: 19.02	ROUGE-L: 16.78
[78] ROUGE-1: 19.13	ROUGE-2: 18.37	ROUGE-L: 18.73
[79] ROUGE-1: 20.23	ROUGE-2: 19.56	ROUGE-L: 17.04
[80] ROUGE-1: 22.06	ROUGE-2: 20.37	ROUGE-L: 17.24
[81] ROUGE-1: 25.00	ROUGE-2: 23.79	ROUGE-L: 24.49
[82] ROUGE-1: 16.82	ROUGE-2: 15.73	ROUGE-L: 15.52
[83] ROUGE-1: 20.34	ROUGE-2: 19.60	ROUGE-L: 18.08
[84] ROUGE-1: 15.13	ROUGE-2: 14.87	ROUGE-L: 15.13
[85] ROUGE-1: 47.51	ROUGE-2: 44.63	ROUGE-L: 44.57
[86] ROUGE-1: 26.13	ROUGE-2: 22.31	ROUGE-L: 23.54
[87] ROUGE-1: 21.21	ROUGE-2: 19.65	ROUGE-L: 15.30
[88] ROUGE-1: 13.92	ROUGE-2: 12.18	ROUGE-L: 11.30
[89] ROUGE-1: 28.70	ROUGE-2: 25.36	ROUGE-L: 25.49
[90] ROUGE-1: 11.45	ROUGE-2: 10.60	ROUGE-L: 10.31
[91] ROUGE-1: 20.42	ROUGE-2: 19.40	ROUGE-L: 16.28
[92] ROUGE-1: 15.87	ROUGE-2: 14.21	ROUGE-L: 12.46
[93] ROUGE-1: 24.42	ROUGE-2: 21.98	ROUGE-L: 18.89
[94] ROUGE-1: 11.91	ROUGE-2: 11.20	ROUGE-L: 11.48
[95] ROUGE-1: 21.16	ROUGE-2: 19.73	ROUGE-L: 21.16
[96] ROUGE-1: 18.52	ROUGE-2: 17.04	ROUGE-L: 15.49
[97] ROUGE-1: 21.34	ROUGE-2: 20.34	ROUGE-L: 21.34
[98] ROUGE-1: 22.89	ROUGE-2: 22.26	ROUGE-L: 21.85
[99] ROUGE-1: 23.68	ROUGE-2: 23.03	ROUGE-L: 21.58
[100] ROUGE-1: 16.63	ROUGE-2: 16.07	ROUGE-L: 15.01
