[1] ROUGE-1: 28.97	ROUGE-2: 26.69	ROUGE-L: 28.97
[2] ROUGE-1: 62.59	ROUGE-2: 60.96	ROUGE-L: 62.59
[3] ROUGE-1: 11.35	ROUGE-2: 11.05	ROUGE-L: 11.35
[4] ROUGE-1: 24.96	ROUGE-2: 23.60	ROUGE-L: 24.96
[5] ROUGE-1: 14.23	ROUGE-2: 13.48	ROUGE-L: 11.91
[6] ROUGE-1: 7.65	ROUGE-2: 7.17	ROUGE-L: 6.03
[7] ROUGE-1: 24.63	ROUGE-2: 23.88	ROUGE-L: 24.63
[8] ROUGE-1: 9.46	ROUGE-2: 8.13	ROUGE-L: 8.51
[9] ROUGE-1: 36.82	ROUGE-2: 35.03	ROUGE-L: 35.71
[10] ROUGE-1: 6.76	ROUGE-2: 6.64	ROUGE-L: 6.70
[11] ROUGE-1: 4.46	ROUGE-2: 3.56	ROUGE-L: 3.96
[12] ROUGE-1: 17.48	ROUGE-2: 13.88	ROUGE-L: 12.94
[13] ROUGE-1: 25.56	ROUGE-2: 24.23	ROUGE-L: 25.56
[14] ROUGE-1: 2.05	ROUGE-2: 1.94	ROUGE-L: 1.98
[15] ROUGE-1: 4.64	ROUGE-2: 4.40	ROUGE-L: 4.64
[16] ROUGE-1: 7.06	ROUGE-2: 7.00	ROUGE-L: 7.06
[17] ROUGE-1: 5.00	ROUGE-2: 4.77	ROUGE-L: 4.64
[18] ROUGE-1: 14.64	ROUGE-2: 13.69	ROUGE-L: 13.40
[19] ROUGE-1: 4.67	ROUGE-2: 4.40	ROUGE-L: 4.67
[20] ROUGE-1: 16.31	ROUGE-2: 15.69	ROUGE-L: 16.20
[21] ROUGE-1: 8.36	ROUGE-2: 7.79	ROUGE-L: 8.26
[22] ROUGE-1: 4.23	ROUGE-2: 4.10	ROUGE-L: 4.23
[23] ROUGE-1: 26.11	ROUGE-2: 23.21	ROUGE-L: 24.04
[24] ROUGE-1: 4.33	ROUGE-2: 4.15	ROUGE-L: 4.15
[25] ROUGE-1: 5.20	ROUGE-2: 5.06	ROUGE-L: 4.93
[26] ROUGE-1: 12.55	ROUGE-2: 10.52	ROUGE-L: 10.80
[27] ROUGE-1: 6.31	ROUGE-2: 5.48	ROUGE-L: 5.63
[28] ROUGE-1: 13.56	ROUGE-2: 12.50	ROUGE-L: 12.07
[29] ROUGE-1: 3.89	ROUGE-2: 3.85	ROUGE-L: 3.89
[30] ROUGE-1: 27.87	ROUGE-2: 27.37	ROUGE-L: 27.87
[31] ROUGE-1: 10.17	ROUGE-2: 8.12	ROUGE-L: 9.03
[32] ROUGE-1: 2.13	ROUGE-2: 2.04	ROUGE-L: 1.95
[33] ROUGE-1: 39.72	ROUGE-2: 36.58	ROUGE-L: 39.72
[34] ROUGE-1: 67.77	ROUGE-2: 66.22	ROUGE-L: 67.77
[35] ROUGE-1: 8.43	ROUGE-2: 7.36	ROUGE-L: 8.24
[36] ROUGE-1: 5.98	ROUGE-2: 5.52	ROUGE-L: 5.67
[37] ROUGE-1: 24.84	ROUGE-2: 24.45	ROUGE-L: 24.84
[38] ROUGE-1: 23.76	ROUGE-2: 21.83	ROUGE-L: 23.39
[39] ROUGE-1: 5.18	ROUGE-2: 5.10	ROUGE-L: 5.18
[40] ROUGE-1: 2.28	ROUGE-2: 2.08	ROUGE-L: 2.15
[41] ROUGE-1: 1.10	ROUGE-2: 1.07	ROUGE-L: 1.08
[42] ROUGE-1: 16.29	ROUGE-2: 14.67	ROUGE-L: 14.40
[43] ROUGE-1: 32.62	ROUGE-2: 31.29	ROUGE-L: 32.62
[44] ROUGE-1: 17.51	ROUGE-2: 11.90	ROUGE-L: 12.41
[45] ROUGE-1: 21.66	ROUGE-2: 17.29	ROUGE-L: 16.42
[46] ROUGE-1: 30.11	ROUGE-2: 29.54	ROUGE-L: 29.95
[47] ROUGE-1: 4.49	ROUGE-2: 3.76	ROUGE-L: 4.22
[48] ROUGE-1: 10.72	ROUGE-2: 10.06	ROUGE-L: 10.06
[49] ROUGE-1: 54.78	ROUGE-2: 50.58	ROUGE-L: 49.86
[50] ROUGE-1: 5.33	ROUGE-2: 4.01	ROUGE-L: 4.62
[51] ROUGE-1: 12.48	ROUGE-2: 12.10	ROUGE-L: 12.22
[52] ROUGE-1: 4.12	ROUGE-2: 3.88	ROUGE-L: 3.96
[53] ROUGE-1: 9.51	ROUGE-2: 9.24	ROUGE-L: 9.51
[54] ROUGE-1: 4.30	ROUGE-2: 4.19	ROUGE-L: 4.28
[55] ROUGE-1: 4.07	ROUGE-2: 3.83	ROUGE-L: 3.88
[56] ROUGE-1: 27.03	ROUGE-2: 24.90	ROUGE-L: 23.17
[57] ROUGE-1: 13.45	ROUGE-2: 12.59	ROUGE-L: 12.93
[58] ROUGE-1: 19.79	ROUGE-2: 19.33	ROUGE-L: 19.79
[59] ROUGE-1: 2.64	ROUGE-2: 2.35	ROUGE-L: 2.51
[60] ROUGE-1: 5.65	ROUGE-2: 5.29	ROUGE-L: 5.53
[61] ROUGE-1: 2.39	ROUGE-2: 2.08	ROUGE-L: 2.28
[62] ROUGE-1: 3.48	ROUGE-2: 3.34	ROUGE-L: 3.48
[63] ROUGE-1: 16.31	ROUGE-2: 16.15	ROUGE-L: 16.31
[64] ROUGE-1: 24.43	ROUGE-2: 21.68	ROUGE-L: 22.14
[65] ROUGE-1: 4.60	ROUGE-2: 4.38	ROUGE-L: 4.48
[66] ROUGE-1: 14.07	ROUGE-2: 13.44	ROUGE-L: 14.07
[67] ROUGE-1: 14.26	ROUGE-2: 13.71	ROUGE-L: 14.12
[68] ROUGE-1: 1.22	ROUGE-2: 1.18	ROUGE-L: 1.21
[69] ROUGE-1: 8.79	ROUGE-2: 8.18	ROUGE-L: 8.61
[70] ROUGE-1: 3.79	ROUGE-2: 2.76	ROUGE-L: 2.90
[71] ROUGE-1: 6.18	ROUGE-2: 5.95	ROUGE-L: 5.95
[72] ROUGE-1: 1.55	ROUGE-2: 1.18	ROUGE-L: 1.30
[73] ROUGE-1: 1.78	ROUGE-2: 1.74	ROUGE-L: 1.78
[74] ROUGE-1: 4.29	ROUGE-2: 3.02	ROUGE-L: 3.47
[75] ROUGE-1: 3.05	ROUGE-2: 2.27	ROUGE-L: 2.53
[76] ROUGE-1: 2.63	ROUGE-2: 2.21	ROUGE-L: 2.36
[77] ROUGE-1: 3.06	ROUGE-2: 2.85	ROUGE-L: 2.88
[78] ROUGE-1: 13.09	ROUGE-2: 12.53	ROUGE-L: 12.79
[79] ROUGE-1: 2.84	ROUGE-2: 2.76	ROUGE-L: 2.84
[80] ROUGE-1: 7.95	ROUGE-2: 5.53	ROUGE-L: 6.20
[81] ROUGE-1: 15.65	ROUGE-2: 15.13	ROUGE-L: 15.65
[82] ROUGE-1: 23.67	ROUGE-2: 23.19	ROUGE-L: 23.67
[83] ROUGE-1: 3.18	ROUGE-2: 2.32	ROUGE-L: 2.49
[84] ROUGE-1: 2.50	ROUGE-2: 2.33	ROUGE-L: 2.35
[85] ROUGE-1: 38.76	ROUGE-2: 35.80	ROUGE-L: 31.78
[86] ROUGE-1: 7.60	ROUGE-2: 7.41	ROUGE-L: 7.56
[87] ROUGE-1: 11.34	ROUGE-2: 10.75	ROUGE-L: 10.68
[88] ROUGE-1: 2.80	ROUGE-2: 2.74	ROUGE-L: 2.80
[89] ROUGE-1: 1.50	ROUGE-2: 1.47	ROUGE-L: 1.50
[90] ROUGE-1: 19.54	ROUGE-2: 18.43	ROUGE-L: 15.40
[91] ROUGE-1: 3.18	ROUGE-2: 2.99	ROUGE-L: 3.18
[92] ROUGE-1: 8.97	ROUGE-2: 8.69	ROUGE-L: 8.97
[93] ROUGE-1: 11.43	ROUGE-2: 8.57	ROUGE-L: 8.40
[94] ROUGE-1: 3.25	ROUGE-2: 3.16	ROUGE-L: 3.25
[95] ROUGE-1: 5.65	ROUGE-2: 5.38	ROUGE-L: 5.53
[96] ROUGE-1: 3.37	ROUGE-2: 2.72	ROUGE-L: 3.00
[97] ROUGE-1: 30.09	ROUGE-2: 28.77	ROUGE-L: 30.09
[98] ROUGE-1: 29.04	ROUGE-2: 20.29	ROUGE-L: 23.82
[99] ROUGE-1: 5.75	ROUGE-2: 5.57	ROUGE-L: 5.72
[100] ROUGE-1: 10.90	ROUGE-2: 10.35	ROUGE-L: 10.53
