[1] ROUGE-1: 25.46	ROUGE-2: 24.25	ROUGE-L: 21.55
[2] ROUGE-1: 24.63	ROUGE-2: 22.97	ROUGE-L: 20.11
[3] ROUGE-1: 22.12	ROUGE-2: 21.69	ROUGE-L: 22.12
[4] ROUGE-1: 19.11	ROUGE-2: 18.38	ROUGE-L: 18.92
[5] ROUGE-1: 22.10	ROUGE-2: 20.63	ROUGE-L: 16.24
[6] ROUGE-1: 28.41	ROUGE-2: 27.20	ROUGE-L: 22.77
[7] ROUGE-1: 13.99	ROUGE-2: 12.17	ROUGE-L: 12.58
[8] ROUGE-1: 27.06	ROUGE-2: 22.61	ROUGE-L: 22.81
[9] ROUGE-1: 27.77	ROUGE-2: 26.16	ROUGE-L: 22.19
[10] ROUGE-1: 22.10	ROUGE-2: 21.13	ROUGE-L: 18.90
[11] ROUGE-1: 27.86	ROUGE-2: 26.89	ROUGE-L: 23.94
[12] ROUGE-1: 30.43	ROUGE-2: 29.41	ROUGE-L: 27.81
[13] ROUGE-1: 29.28	ROUGE-2: 27.43	ROUGE-L: 26.15
[14] ROUGE-1: 21.15	ROUGE-2: 20.20	ROUGE-L: 16.94
[15] ROUGE-1: 28.75	ROUGE-2: 27.41	ROUGE-L: 27.29
[16] ROUGE-1: 20.42	ROUGE-2: 18.05	ROUGE-L: 16.31
[17] ROUGE-1: 25.38	ROUGE-2: 23.22	ROUGE-L: 22.10
[18] ROUGE-1: 22.45	ROUGE-2: 21.30	ROUGE-L: 17.69
[19] ROUGE-1: 21.42	ROUGE-2: 20.52	ROUGE-L: 17.15
[20] ROUGE-1: 24.95	ROUGE-2: 22.86	ROUGE-L: 20.10
[21] ROUGE-1: 19.98	ROUGE-2: 19.33	ROUGE-L: 19.87
[22] ROUGE-1: 49.74	ROUGE-2: 48.95	ROUGE-L: 49.74
[23] ROUGE-1: 13.00	ROUGE-2: 12.62	ROUGE-L: 13.00
[24] ROUGE-1: 28.57	ROUGE-2: 27.27	ROUGE-L: 28.57
[25] ROUGE-1: 24.22	ROUGE-2: 21.18	ROUGE-L: 18.79
[26] ROUGE-1: 38.51	ROUGE-2: 33.92	ROUGE-L: 31.74
[27] ROUGE-1: 17.69	ROUGE-2: 16.22	ROUGE-L: 14.23
[28] ROUGE-1: 26.77	ROUGE-2: 26.16	ROUGE-L: 23.67
[29] ROUGE-1: 28.95	ROUGE-2: 27.91	ROUGE-L: 22.86
[30] ROUGE-1: 24.45	ROUGE-2: 23.13	ROUGE-L: 21.36
[31] ROUGE-1: 24.01	ROUGE-2: 22.59	ROUGE-L: 18.96
[32] ROUGE-1: 23.12	ROUGE-2: 22.15	ROUGE-L: 19.61
[33] ROUGE-1: 22.62	ROUGE-2: 21.08	ROUGE-L: 17.67
[34] ROUGE-1: 18.09	ROUGE-2: 16.71	ROUGE-L: 15.17
[35] ROUGE-1: 23.75	ROUGE-2: 22.67	ROUGE-L: 20.06
[36] ROUGE-1: 21.37	ROUGE-2: 20.34	ROUGE-L: 19.08
[37] ROUGE-1: 20.04	ROUGE-2: 18.44	ROUGE-L: 18.50
[38] ROUGE-1: 20.58	ROUGE-2: 19.82	ROUGE-L: 17.41
[39] ROUGE-1: 13.29	ROUGE-2: 10.62	ROUGE-L: 9.44
[40] ROUGE-1: 23.33	ROUGE-2: 22.58	ROUGE-L: 18.50
[41] ROUGE-1: 30.65	ROUGE-2: 29.20	ROUGE-L: 28.79
[42] ROUGE-1: 18.27	ROUGE-2: 15.06	ROUGE-L: 12.25
[43] ROUGE-1: 20.29	ROUGE-2: 18.10	ROUGE-L: 17.54
[44] ROUGE-1: 26.65	ROUGE-2: 25.14	ROUGE-L: 23.63
[45] ROUGE-1: 23.42	ROUGE-2: 22.80	ROUGE-L: 23.42
[46] ROUGE-1: 24.33	ROUGE-2: 23.49	ROUGE-L: 22.28
[47] ROUGE-1: 24.44	ROUGE-2: 23.70	ROUGE-L: 21.47
[48] ROUGE-1: 23.03	ROUGE-2: 21.64	ROUGE-L: 19.24
[49] ROUGE-1: 23.06	ROUGE-2: 22.43	ROUGE-L: 21.86
[50] ROUGE-1: 21.11	ROUGE-2: 19.54	ROUGE-L: 19.68
[51] ROUGE-1: 24.66	ROUGE-2: 22.82	ROUGE-L: 19.84
[52] ROUGE-1: 22.42	ROUGE-2: 20.84	ROUGE-L: 18.60
[53] ROUGE-1: 17.82	ROUGE-2: 14.03	ROUGE-L: 15.91
[54] ROUGE-1: 18.68	ROUGE-2: 17.53	ROUGE-L: 17.45
[55] ROUGE-1: 29.94	ROUGE-2: 28.70	ROUGE-L: 27.60
[56] ROUGE-1: 38.78	ROUGE-2: 35.93	ROUGE-L: 19.39
[57] ROUGE-1: 23.45	ROUGE-2: 22.38	ROUGE-L: 23.45
[58] ROUGE-1: 22.84	ROUGE-2: 21.78	ROUGE-L: 20.13
[59] ROUGE-1: 49.32	ROUGE-2: 46.33	ROUGE-L: 44.75
[60] ROUGE-1: 12.56	ROUGE-2: 11.61	ROUGE-L: 12.15
[61] ROUGE-1: 26.27	ROUGE-2: 24.56	ROUGE-L: 21.08
[62] ROUGE-1: 24.11	ROUGE-2: 21.99	ROUGE-L: 19.92
[63] ROUGE-1: 21.75	ROUGE-2: 20.52	ROUGE-L: 17.97
[64] ROUGE-1: 36.14	ROUGE-2: 27.54	ROUGE-L: 26.49
[65] ROUGE-1: 25.70	ROUGE-2: 24.19	ROUGE-L: 22.69
[66] ROUGE-1: 23.50	ROUGE-2: 22.54	ROUGE-L: 18.88
[67] ROUGE-1: 46.67	ROUGE-2: 44.70	ROUGE-L: 46.44
[68] ROUGE-1: 55.17	ROUGE-2: 53.33	ROUGE-L: 55.17
[69] ROUGE-1: 27.88	ROUGE-2: 27.10	ROUGE-L: 25.94
[70] ROUGE-1: 34.63	ROUGE-2: 32.49	ROUGE-L: 29.98
[71] ROUGE-1: 23.29	ROUGE-2: 21.86	ROUGE-L: 19.38
[72] ROUGE-1: 26.03	ROUGE-2: 24.71	ROUGE-L: 21.59
[73] ROUGE-1: 23.57	ROUGE-2: 22.70	ROUGE-L: 19.94
[74] ROUGE-1: 26.43	ROUGE-2: 25.67	ROUGE-L: 21.40
[75] ROUGE-1: 13.01	ROUGE-2: 11.60	ROUGE-L: 12.44
[76] ROUGE-1: 17.11	ROUGE-2: 16.81	ROUGE-L: 17.11
[77] ROUGE-1: 25.46	ROUGE-2: 24.08	ROUGE-L: 21.89
[78] ROUGE-1: 19.13	ROUGE-2: 18.37	ROUGE-L: 18.73
[79] ROUGE-1: 26.64	ROUGE-2: 25.48	ROUGE-L: 23.66
[80] ROUGE-1: 24.32	ROUGE-2: 22.79	ROUGE-L: 18.54
[81] ROUGE-1: 25.00	ROUGE-2: 23.79	ROUGE-L: 24.49
[82] ROUGE-1: 25.18	ROUGE-2: 23.93	ROUGE-L: 21.47
[83] ROUGE-1: 26.27	ROUGE-2: 25.06	ROUGE-L: 21.78
[84] ROUGE-1: 28.35	ROUGE-2: 25.60	ROUGE-L: 25.01
[85] ROUGE-1: 37.60	ROUGE-2: 34.65	ROUGE-L: 34.48
[86] ROUGE-1: 20.74	ROUGE-2: 19.66	ROUGE-L: 20.74
[87] ROUGE-1: 21.21	ROUGE-2: 19.65	ROUGE-L: 15.30
[88] ROUGE-1: 24.91	ROUGE-2: 23.71	ROUGE-L: 20.88
[89] ROUGE-1: 30.39	ROUGE-2: 28.50	ROUGE-L: 26.33
[90] ROUGE-1: 26.49	ROUGE-2: 24.92	ROUGE-L: 22.91
[91] ROUGE-1: 31.05	ROUGE-2: 29.09	ROUGE-L: 23.98
[92] ROUGE-1: 23.36	ROUGE-2: 21.29	ROUGE-L: 18.36
[93] ROUGE-1: 26.83	ROUGE-2: 23.96	ROUGE-L: 21.10
[94] ROUGE-1: 27.88	ROUGE-2: 26.58	ROUGE-L: 23.35
