[77] ROUGE-1: 28.66	ROUGE-2: 27.28	ROUGE-L: 23.60
[78] ROUGE-1: 19.13	ROUGE-2: 18.37	ROUGE-L: 18.73
[79] ROUGE-1: 33.33	ROUGE-2: 32.33	ROUGE-L: 29.15
[80] ROUGE-1: 29.81	ROUGE-2: 28.36	ROUGE-L: 21.80
[81] ROUGE-1: 25.00	ROUGE-2: 23.79	ROUGE-L: 24.49
[82] ROUGE-1: 23.66	ROUGE-2: 22.33	ROUGE-L: 21.00
[83] ROUGE-1: 26.86	ROUGE-2: 25.73	ROUGE-L: 21.02
[84] ROUGE-1: 23.31	ROUGE-2: 22.40	ROUGE-L: 20.61
[85] ROUGE-1: 47.51	ROUGE-2: 44.63	ROUGE-L: 44.57
[86] ROUGE-1: 26.13	ROUGE-2: 22.31	ROUGE-L: 23.54
[87] ROUGE-1: 21.21	ROUGE-2: 19.65	ROUGE-L: 15.30
[88] ROUGE-1: 26.14	ROUGE-2: 24.32	ROUGE-L: 21.51
[89] ROUGE-1: 28.70	ROUGE-2: 25.36	ROUGE-L: 25.49
[90] ROUGE-1: 25.48	ROUGE-2: 24.28	ROUGE-L: 19.55
[91] ROUGE-1: 27.53	ROUGE-2: 25.69	ROUGE-L: 20.77
[92] ROUGE-1: 23.10	ROUGE-2: 21.46	ROUGE-L: 19.56
[93] ROUGE-1: 30.10	ROUGE-2: 27.37	ROUGE-L: 24.71
[94] ROUGE-1: 23.19	ROUGE-2: 21.59	ROUGE-L: 16.51
[95] ROUGE-1: 21.16	ROUGE-2: 19.73	ROUGE-L: 21.16
[96] ROUGE-1: 24.23	ROUGE-2: 22.05	ROUGE-L: 19.52
[97] ROUGE-1: 21.34	ROUGE-2: 20.34	ROUGE-L: 21.34
[98] ROUGE-1: 30.86	ROUGE-2: 29.87	ROUGE-L: 25.86
[99] ROUGE-1: 30.82	ROUGE-2: 29.78	ROUGE-L: 28.72
[100] ROUGE-1: 22.92	ROUGE-2: 22.03	ROUGE-L: 19.81
