[77] ROUGE-1: 66.49	ROUGE-2: 60.47	ROUGE-L: 55.44
[78] ROUGE-1: 68.56	ROUGE-2: 64.57	ROUGE-L: 61.34
[79] ROUGE-1: 4.25	ROUGE-2: 3.93	ROUGE-L: 4.17
[80] ROUGE-1: 6.18	ROUGE-2: 5.54	ROUGE-L: 5.80
[81] ROUGE-1: 51.23	ROUGE-2: 48.04	ROUGE-L: 45.33
[82] ROUGE-1: 65.82	ROUGE-2: 61.45	ROUGE-L: 57.54
[83] ROUGE-1: 2.10	ROUGE-2: 2.03	ROUGE-L: 2.10
[84] ROUGE-1: 63.63	ROUGE-2: 59.65	ROUGE-L: 55.42
[85] ROUGE-1: 36.54	ROUGE-2: 34.14	ROUGE-L: 34.43
[86] ROUGE-1: 72.26	ROUGE-2: 66.68	ROUGE-L: 61.94
[87] ROUGE-1: 1.37	ROUGE-2: 1.34	ROUGE-L: 1.26
[88] ROUGE-1: 68.64	ROUGE-2: 62.15	ROUGE-L: 58.18
[89] ROUGE-1: 84.59	ROUGE-2: 76.63	ROUGE-L: 74.45
[90] ROUGE-1: 12.87	ROUGE-2: 11.94	ROUGE-L: 10.29
[91] ROUGE-1: 3.07	ROUGE-2: 2.84	ROUGE-L: 3.07
[92] ROUGE-1: 70.59	ROUGE-2: 64.82	ROUGE-L: 59.10
[93] ROUGE-1: 4.93	ROUGE-2: 4.55	ROUGE-L: 3.68
[94] ROUGE-1: 24.87	ROUGE-2: 22.44	ROUGE-L: 20.69
[95] ROUGE-1: 68.77	ROUGE-2: 61.19	ROUGE-L: 53.74
[96] ROUGE-1: 41.99	ROUGE-2: 38.60	ROUGE-L: 35.69
[97] ROUGE-1: 35.23	ROUGE-2: 30.81	ROUGE-L: 30.34
[98] ROUGE-1: 78.13	ROUGE-2: 72.05	ROUGE-L: 62.44
[99] ROUGE-1: 65.83	ROUGE-2: 59.89	ROUGE-L: 57.31
[100] ROUGE-1: 42.90	ROUGE-2: 39.99	ROUGE-L: 36.99
