[77] ROUGE-1: 3.06	ROUGE-2: 2.85	ROUGE-L: 2.88
[78] ROUGE-1: 21.05	ROUGE-2: 20.31	ROUGE-L: 20.37
[79] ROUGE-1: 5.34	ROUGE-2: 5.21	ROUGE-L: 5.34
[80] ROUGE-1: 7.95	ROUGE-2: 5.53	ROUGE-L: 6.20
[81] ROUGE-1: 30.58	ROUGE-2: 29.29	ROUGE-L: 30.58
[82] ROUGE-1: 23.67	ROUGE-2: 23.19	ROUGE-L: 23.67
[83] ROUGE-1: 12.45	ROUGE-2: 10.18	ROUGE-L: 10.88
[84] ROUGE-1: 13.05	ROUGE-2: 12.26	ROUGE-L: 12.54
[85] ROUGE-1: 38.76	ROUGE-2: 35.80	ROUGE-L: 31.78
[86] ROUGE-1: 19.89	ROUGE-2: 19.40	ROUGE-L: 19.20
[87] ROUGE-1: 21.00	ROUGE-2: 20.23	ROUGE-L: 20.44
[88] ROUGE-1: 18.22	ROUGE-2: 16.76	ROUGE-L: 16.03
[89] ROUGE-1: 5.32	ROUGE-2: 4.86	ROUGE-L: 4.92
[90] ROUGE-1: 19.54	ROUGE-2: 18.43	ROUGE-L: 15.40
[91] ROUGE-1: 6.63	ROUGE-2: 6.33	ROUGE-L: 6.63
[92] ROUGE-1: 8.97	ROUGE-2: 8.69	ROUGE-L: 8.97
[93] ROUGE-1: 23.96	ROUGE-2: 19.44	ROUGE-L: 20.21
[94] ROUGE-1: 12.00	ROUGE-2: 11.63	ROUGE-L: 11.97
[95] ROUGE-1: 10.41	ROUGE-2: 9.97	ROUGE-L: 10.26
[96] ROUGE-1: 5.25	ROUGE-2: 4.48	ROUGE-L: 4.68
[97] ROUGE-1: 47.04	ROUGE-2: 42.19	ROUGE-L: 42.99
[98] ROUGE-1: 29.04	ROUGE-2: 20.29	ROUGE-L: 23.82
[99] ROUGE-1: 5.75	ROUGE-2: 5.57	ROUGE-L: 5.72
[100] ROUGE-1: 10.90	ROUGE-2: 10.35	ROUGE-L: 10.53
