[1] ROUGE-1: 28.97	ROUGE-2: 26.69	ROUGE-L: 28.97
[2] ROUGE-1: 63.01	ROUGE-2: 50.14	ROUGE-L: 50.41
[3] ROUGE-1: 32.37	ROUGE-2: 31.94	ROUGE-L: 32.37
[4] ROUGE-1: 24.96	ROUGE-2: 23.60	ROUGE-L: 24.96
[5] ROUGE-1: 36.85	ROUGE-2: 35.53	ROUGE-L: 34.81
[6] ROUGE-1: 29.45	ROUGE-2: 27.66	ROUGE-L: 27.64
[7] ROUGE-1: 39.81	ROUGE-2: 29.93	ROUGE-L: 27.96
[8] ROUGE-1: 19.07	ROUGE-2: 17.75	ROUGE-L: 17.77
[9] ROUGE-1: 53.74	ROUGE-2: 52.50	ROUGE-L: 53.74
[10] ROUGE-1: 26.45	ROUGE-2: 25.77	ROUGE-L: 26.31
[11] ROUGE-1: 25.43	ROUGE-2: 23.74	ROUGE-L: 23.15
[12] ROUGE-1: 17.48	ROUGE-2: 13.88	ROUGE-L: 12.94
[13] ROUGE-1: 34.15	ROUGE-2: 25.37	ROUGE-L: 29.48
[14] ROUGE-1: 18.01	ROUGE-2: 17.03	ROUGE-L: 16.79
[15] ROUGE-1: 13.38	ROUGE-2: 12.92	ROUGE-L: 13.38
[16] ROUGE-1: 7.06	ROUGE-2: 7.00	ROUGE-L: 7.06
[17] ROUGE-1: 28.13	ROUGE-2: 26.72	ROUGE-L: 25.50
[18] ROUGE-1: 14.64	ROUGE-2: 13.69	ROUGE-L: 13.40
[19] ROUGE-1: 12.89	ROUGE-2: 11.54	ROUGE-L: 11.90
[20] ROUGE-1: 34.31	ROUGE-2: 32.89	ROUGE-L: 34.21
[21] ROUGE-1: 15.32	ROUGE-2: 13.95	ROUGE-L: 14.21
[22] ROUGE-1: 17.40	ROUGE-2: 16.45	ROUGE-L: 16.54
[23] ROUGE-1: 26.11	ROUGE-2: 23.21	ROUGE-L: 24.04
[24] ROUGE-1: 31.79	ROUGE-2: 30.50	ROUGE-L: 29.60
[25] ROUGE-1: 21.45	ROUGE-2: 20.69	ROUGE-L: 20.37
[26] ROUGE-1: 20.68	ROUGE-2: 16.05	ROUGE-L: 15.75
