[1] ROUGE-1: 70.37	ROUGE-2: 66.10	ROUGE-L: 27.34
[2] ROUGE-1: 76.17	ROUGE-2: 70.34	ROUGE-L: 30.01
[3] ROUGE-1: 76.46	ROUGE-2: 70.33	ROUGE-L: 28.27
[4] ROUGE-1: 73.53	ROUGE-2: 67.25	ROUGE-L: 20.39
[5] ROUGE-1: 72.95	ROUGE-2: 66.46	ROUGE-L: 25.76
[6] ROUGE-1: 80.96	ROUGE-2: 74.14	ROUGE-L: 28.67
[7] ROUGE-1: 74.35	ROUGE-2: 69.26	ROUGE-L: 20.85
[8] ROUGE-1: 87.39	ROUGE-2: 80.79	ROUGE-L: 25.73
[9] ROUGE-1: 72.98	ROUGE-2: 67.58	ROUGE-L: 23.71
[10] ROUGE-1: 82.25	ROUGE-2: 76.91	ROUGE-L: 23.61
[11] ROUGE-1: 62.93	ROUGE-2: 57.85	ROUGE-L: 28.77
[12] ROUGE-1: 82.58	ROUGE-2: 76.02	ROUGE-L: 26.99
[13] ROUGE-1: 70.33	ROUGE-2: 66.45	ROUGE-L: 35.67
[14] ROUGE-1: 73.40	ROUGE-2: 68.37	ROUGE-L: 30.43
[15] ROUGE-1: 77.63	ROUGE-2: 68.62	ROUGE-L: 44.37
[16] ROUGE-1: 83.07	ROUGE-2: 76.98	ROUGE-L: 26.73
[17] ROUGE-1: 88.23	ROUGE-2: 78.61	ROUGE-L: 37.06
[18] ROUGE-1: 83.80	ROUGE-2: 77.75	ROUGE-L: 27.23
[19] ROUGE-1: 79.56	ROUGE-2: 73.42	ROUGE-L: 27.98
[20] ROUGE-1: 80.32	ROUGE-2: 74.54	ROUGE-L: 27.37
[21] ROUGE-1: 69.86	ROUGE-2: 63.99	ROUGE-L: 21.44
[22] ROUGE-1: 84.08	ROUGE-2: 77.33	ROUGE-L: 22.16
[23] ROUGE-1: 66.72	ROUGE-2: 62.63	ROUGE-L: 24.89
[24] ROUGE-1: 65.76	ROUGE-2: 59.58	ROUGE-L: 23.57
[25] ROUGE-1: 75.19	ROUGE-2: 69.19	ROUGE-L: 22.37
[26] ROUGE-1: 80.02	ROUGE-2: 74.25	ROUGE-L: 20.99
[27] ROUGE-1: 75.20	ROUGE-2: 70.24	ROUGE-L: 25.63
[28] ROUGE-1: 72.39	ROUGE-2: 67.86	ROUGE-L: 24.24
[29] ROUGE-1: 78.90	ROUGE-2: 74.03	ROUGE-L: 21.22
[30] ROUGE-1: 64.69	ROUGE-2: 59.65	ROUGE-L: 23.30
[31] ROUGE-1: 77.91	ROUGE-2: 71.20	ROUGE-L: 30.77
[32] ROUGE-1: 78.10	ROUGE-2: 72.73	ROUGE-L: 23.91
[33] ROUGE-1: 66.41	ROUGE-2: 61.82	ROUGE-L: 19.98
[34] ROUGE-1: 82.09	ROUGE-2: 75.54	ROUGE-L: 22.31
[35] ROUGE-1: 77.98	ROUGE-2: 72.17	ROUGE-L: 31.79
[36] ROUGE-1: 79.83	ROUGE-2: 73.69	ROUGE-L: 30.25
[37] ROUGE-1: 70.70	ROUGE-2: 66.71	ROUGE-L: 28.22
[38] ROUGE-1: 78.43	ROUGE-2: 73.04	ROUGE-L: 39.92
[39] ROUGE-1: 77.77	ROUGE-2: 69.74	ROUGE-L: 35.58
[40] ROUGE-1: 77.49	ROUGE-2: 70.16	ROUGE-L: 36.62
